"Run ID","Assay Name","Test Name","Test Date","Qubit tube conc.","Qubit tube conc. units","Original sample conc.","Original sample conc. units","Sample Volume (uL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054454","27/08/2024 05:44:54 AM","49.9","ng/mL","9.98","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"285.42"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054444","27/08/2024 05:44:44 AM","40.5","ng/mL","8.10","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"246.80"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054434","27/08/2024 05:44:34 AM","32.0","ng/mL","6.40","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"212.00"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054424","27/08/2024 05:44:24 AM","55.8","ng/mL","11.2","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"309.68"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054413","27/08/2024 05:44:13 AM","53.7","ng/mL","10.7","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"300.95"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054403","27/08/2024 05:44:03 AM","86.6","ng/mL","17.3","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"437.11"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054352","27/08/2024 05:43:52 AM","68.6","ng/mL","13.7","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"362.67"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054338","27/08/2024 05:43:38 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"149.16"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054328","27/08/2024 05:43:28 AM","45.3","ng/mL","9.06","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"266.27"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054316","27/08/2024 05:43:16 AM","50.2","ng/mL","10.0","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"286.64"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054304","27/08/2024 05:43:04 AM","40.7","ng/mL","8.14","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"247.64"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054252","27/08/2024 05:42:52 AM","31.9","ng/mL","6.38","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"211.94"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054242","27/08/2024 05:42:42 AM","55.5","ng/mL","11.1","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"308.48"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054230","27/08/2024 05:42:30 AM","53.6","ng/mL","10.7","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"300.66"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054220","27/08/2024 05:42:20 AM","87.0","ng/mL","17.4","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"438.80"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054208","27/08/2024 05:42:08 AM","69.9","ng/mL","14.0","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"367.95"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054154","27/08/2024 05:41:54 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"151.04"
"2024-08-27_054059","RNA High Sensitivity","Sample_#240827-054141","27/08/2024 05:41:41 AM","45.2","ng/mL","9.04","ng/uL","1","200","92.47","1889.51",,"Red","Far Red",,"265.98"
