"Run ID","Assay Name","Test Name","Test Date","Qubit tube conc.","Qubit tube conc. units","Original sample conc.","Original sample conc. units","Sample Volume (uL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075241","16/08/2024 07:52:41 AM","41.1","ng/mL","8.22","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"243.73"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075227","16/08/2024 07:52:27 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"147.19"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075216","16/08/2024 07:52:16 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"147.96"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075205","16/08/2024 07:52:05 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"133.63"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075151","16/08/2024 07:51:51 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"139.90"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075136","16/08/2024 07:51:36 AM","44.4","ng/mL","8.88","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"256.32"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075121","16/08/2024 07:51:21 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"139.95"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075106","16/08/2024 07:51:06 AM","41.7","ng/mL","8.34","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"245.82"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075051","16/08/2024 07:50:51 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"148.18"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075036","16/08/2024 07:50:36 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"145.83"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075020","16/08/2024 07:50:20 AM","Out of range","ng/mL","Out of range","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"135.42"
"2024-08-16_074027","RNA High Sensitivity","Sample_#240816-075004","16/08/2024 07:50:04 AM","43.5","ng/mL","8.70","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"252.87"
