Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
101112H9_R1_001	(13.0, 4.0)	(14.0, 123.0)	(15.0, 532.0)	(16.0, 1216.0)	(17.0, 1860.0)	(18.0, 2507.0)	(19.0, 3222.0)	(20.0, 4114.0)	(21.0, 5529.0)	(22.0, 7736.0)	(23.0, 11254.0)	(24.0, 16839.0)	(25.0, 27184.0)	(26.0, 44174.0)	(27.0, 69867.0)	(28.0, 106793.0)	(29.0, 155808.0)	(30.0, 215300.0)	(31.0, 286593.0)	(32.0, 379804.0)	(33.0, 520906.0)	(34.0, 837444.0)	(35.0, 1967604.0)	(36.0, 11980784.0)	(37.0, 1529873.0)	(38.0, 175716.0)	(39.0, 776030.0)	(40.0, 236243.0)		
101112H9_R2_001	(11.0, 3.0)	(12.0, 78.0)	(13.0, 398.0)	(14.0, 987.0)	(15.0, 1580.0)	(16.0, 2823.0)	(17.0, 5799.0)	(18.0, 10839.0)	(19.0, 16267.0)	(20.0, 23393.0)	(21.0, 33066.0)	(22.0, 43676.0)	(23.0, 55078.0)	(24.0, 67891.0)	(25.0, 82586.0)	(26.0, 102439.0)	(27.0, 127750.0)	(28.0, 160673.0)	(29.0, 203911.0)	(30.0, 263358.0)	(31.0, 354442.0)	(32.0, 508931.0)	(33.0, 806718.0)	(34.0, 1513406.0)	(35.0, 3873716.0)	(36.0, 9771183.0)	(37.0, 391169.0)	(38.0, 233017.0)	(39.0, 625621.0)	(40.0, 84261.0)
101112L14_R1_001	(13.0, 5.0)	(14.0, 68.0)	(15.0, 310.0)	(16.0, 724.0)	(17.0, 1143.0)	(18.0, 1572.0)	(19.0, 2012.0)	(20.0, 2535.0)	(21.0, 3433.0)	(22.0, 4957.0)	(23.0, 7501.0)	(24.0, 12589.0)	(25.0, 22827.0)	(26.0, 40698.0)	(27.0, 68052.0)	(28.0, 107632.0)	(29.0, 158838.0)	(30.0, 219836.0)	(31.0, 292622.0)	(32.0, 386238.0)	(33.0, 531341.0)	(34.0, 844917.0)	(35.0, 2021307.0)	(36.0, 12903116.0)	(37.0, 1500901.0)					
101112L14_R2_001	(11.0, 6.0)	(12.0, 99.0)	(13.0, 496.0)	(14.0, 954.0)	(15.0, 1149.0)	(16.0, 1583.0)	(17.0, 2476.0)	(18.0, 4322.0)	(19.0, 8141.0)	(20.0, 15070.0)	(21.0, 24838.0)	(22.0, 36372.0)	(23.0, 48711.0)	(24.0, 61456.0)	(25.0, 76394.0)	(26.0, 95245.0)	(27.0, 121658.0)	(28.0, 154311.0)	(29.0, 200116.0)	(30.0, 261683.0)	(31.0, 358204.0)	(32.0, 525403.0)	(33.0, 849872.0)	(34.0, 1623336.0)	(35.0, 4258694.0)	(36.0, 10134054.0)	(37.0, 270531.0)			
101112L4_R1_001	(13.0, 16.0)	(14.0, 248.0)	(15.0, 1096.0)	(16.0, 2331.0)	(17.0, 3306.0)	(18.0, 4107.0)	(19.0, 4655.0)	(20.0, 5332.0)	(21.0, 6821.0)	(22.0, 8928.0)	(23.0, 12040.0)	(24.0, 17859.0)	(25.0, 28193.0)	(26.0, 44932.0)	(27.0, 70607.0)	(28.0, 107341.0)	(29.0, 155786.0)	(30.0, 214263.0)	(31.0, 284159.0)	(32.0, 374175.0)	(33.0, 514256.0)	(34.0, 829551.0)	(35.0, 1923602.0)	(36.0, 12354169.0)	(37.0, 1681382.0)					
101112L4_R2_001	(11.0, 3.0)	(12.0, 41.0)	(13.0, 329.0)	(14.0, 966.0)	(15.0, 1765.0)	(16.0, 2981.0)	(17.0, 4398.0)	(18.0, 6542.0)	(19.0, 10496.0)	(20.0, 16577.0)	(21.0, 25970.0)	(22.0, 40361.0)	(23.0, 56168.0)	(24.0, 60151.0)	(25.0, 69430.0)	(26.0, 85593.0)	(27.0, 108947.0)	(28.0, 139072.0)	(29.0, 179270.0)	(30.0, 235290.0)	(31.0, 321196.0)	(32.0, 468880.0)	(33.0, 756162.0)	(34.0, 1445246.0)	(35.0, 3795047.0)	(36.0, 10481177.0)	(37.0, 337097.0)			
101112L9_R1_001	(13.0, 5.0)	(14.0, 52.0)	(15.0, 301.0)	(16.0, 659.0)	(17.0, 1044.0)	(18.0, 1630.0)	(19.0, 2315.0)	(20.0, 3212.0)	(21.0, 4874.0)	(22.0, 6974.0)	(23.0, 10482.0)	(24.0, 16197.0)	(25.0, 27256.0)	(26.0, 45235.0)	(27.0, 72426.0)	(28.0, 109844.0)	(29.0, 157880.0)	(30.0, 215173.0)	(31.0, 283628.0)	(32.0, 371950.0)	(33.0, 509388.0)	(34.0, 810867.0)	(35.0, 1925797.0)	(36.0, 11946214.0)	(37.0, 1522127.0)	(38.0, 167482.0)	(39.0, 812601.0)	(40.0, 294932.0)		
101112L9_R2_001	(11.0, 3.0)	(12.0, 65.0)	(13.0, 388.0)	(14.0, 790.0)	(15.0, 1173.0)	(16.0, 2166.0)	(17.0, 4761.0)	(18.0, 9502.0)	(19.0, 14957.0)	(20.0, 23226.0)	(21.0, 33825.0)	(22.0, 46071.0)	(23.0, 58052.0)	(24.0, 71910.0)	(25.0, 86019.0)	(26.0, 106502.0)	(27.0, 131390.0)	(28.0, 164411.0)	(29.0, 209055.0)	(30.0, 270104.0)	(31.0, 365256.0)	(32.0, 528328.0)	(33.0, 842329.0)	(34.0, 1595786.0)	(35.0, 4058385.0)	(36.0, 9268794.0)	(37.0, 341186.0)	(38.0, 222775.0)	(39.0, 725420.0)	(40.0, 137916.0)
101112M14_R1_001	(13.0, 1.0)	(14.0, 55.0)	(15.0, 220.0)	(16.0, 460.0)	(17.0, 836.0)	(18.0, 1134.0)	(19.0, 1625.0)	(20.0, 2232.0)	(21.0, 3270.0)	(22.0, 4796.0)	(23.0, 7752.0)	(24.0, 12943.0)	(25.0, 22862.0)	(26.0, 39414.0)	(27.0, 66452.0)	(28.0, 104561.0)	(29.0, 153585.0)	(30.0, 213557.0)	(31.0, 284486.0)	(32.0, 376774.0)	(33.0, 516575.0)	(34.0, 836817.0)	(35.0, 2022271.0)	(36.0, 12394655.0)	(37.0, 1400058.0)					
101112M14_R2_001	(11.0, 5.0)	(12.0, 62.0)	(13.0, 343.0)	(14.0, 679.0)	(15.0, 1010.0)	(16.0, 1504.0)	(17.0, 2480.0)	(18.0, 4466.0)	(19.0, 8190.0)	(20.0, 15493.0)	(21.0, 25541.0)	(22.0, 37492.0)	(23.0, 51086.0)	(24.0, 64660.0)	(25.0, 80850.0)	(26.0, 101476.0)	(27.0, 128605.0)	(28.0, 163399.0)	(29.0, 209543.0)	(30.0, 273969.0)	(31.0, 375490.0)	(32.0, 549617.0)	(33.0, 888545.0)	(34.0, 1687526.0)	(35.0, 4269161.0)	(36.0, 9315577.0)	(37.0, 210622.0)			
101112M4_R1_001	(13.0, 14.0)	(14.0, 214.0)	(15.0, 856.0)	(16.0, 1857.0)	(17.0, 2743.0)	(18.0, 3455.0)	(19.0, 4477.0)	(20.0, 6096.0)	(21.0, 8315.0)	(22.0, 11063.0)	(23.0, 15111.0)	(24.0, 22163.0)	(25.0, 33892.0)	(26.0, 51732.0)	(27.0, 75878.0)	(28.0, 108571.0)	(29.0, 151538.0)	(30.0, 202631.0)	(31.0, 265700.0)	(32.0, 347090.0)	(33.0, 470025.0)	(34.0, 742359.0)	(35.0, 1708777.0)	(36.0, 10492167.0)	(37.0, 1522446.0)	(38.0, 320230.0)	(39.0, 1447214.0)	(40.0, 476779.0)		
101112M4_R2_001	(11.0, 3.0)	(12.0, 92.0)	(13.0, 569.0)	(14.0, 1308.0)	(15.0, 2212.0)	(16.0, 4120.0)	(17.0, 9272.0)	(18.0, 17242.0)	(19.0, 24435.0)	(20.0, 33396.0)	(21.0, 43959.0)	(22.0, 53891.0)	(23.0, 64373.0)	(24.0, 74927.0)	(25.0, 85806.0)	(26.0, 100901.0)	(27.0, 121859.0)	(28.0, 149411.0)	(29.0, 185382.0)	(30.0, 236034.0)	(31.0, 310702.0)	(32.0, 441140.0)	(33.0, 688454.0)	(34.0, 1271313.0)	(35.0, 3203462.0)	(36.0, 8937659.0)	(37.0, 503690.0)	(38.0, 394870.0)	(39.0, 1277432.0)	(40.0, 255479.0)
101112M9_R1_001	(13.0, 3.0)	(14.0, 81.0)	(15.0, 377.0)	(16.0, 870.0)	(17.0, 1305.0)	(18.0, 1772.0)	(19.0, 2521.0)	(20.0, 3711.0)	(21.0, 5347.0)	(22.0, 7470.0)	(23.0, 10606.0)	(24.0, 15795.0)	(25.0, 25103.0)	(26.0, 40543.0)	(27.0, 64702.0)	(28.0, 99893.0)	(29.0, 143426.0)	(30.0, 197065.0)	(31.0, 261063.0)	(32.0, 344076.0)	(33.0, 468895.0)	(34.0, 744715.0)	(35.0, 1750581.0)	(36.0, 10906993.0)	(37.0, 1493133.0)	(38.0, 319541.0)	(39.0, 1526693.0)	(40.0, 566626.0)		
101112M9_R2_001	(11.0, 1.0)	(12.0, 73.0)	(13.0, 446.0)	(14.0, 938.0)	(15.0, 1355.0)	(16.0, 2496.0)	(17.0, 5765.0)	(18.0, 10847.0)	(19.0, 14931.0)	(20.0, 21019.0)	(21.0, 28832.0)	(22.0, 37576.0)	(23.0, 46648.0)	(24.0, 56511.0)	(25.0, 68299.0)	(26.0, 85045.0)	(27.0, 105672.0)	(28.0, 132552.0)	(29.0, 168824.0)	(30.0, 218431.0)	(31.0, 295274.0)	(32.0, 426580.0)	(33.0, 676244.0)	(34.0, 1275764.0)	(35.0, 3342589.0)	(36.0, 9328624.0)	(37.0, 517204.0)	(38.0, 426853.0)	(39.0, 1412807.0)	(40.0, 294706.0)
123C14_R1_001	(13.0, 1.0)	(14.0, 69.0)	(15.0, 320.0)	(16.0, 679.0)	(17.0, 1057.0)	(18.0, 1589.0)	(19.0, 2324.0)	(20.0, 3994.0)	(21.0, 6013.0)	(22.0, 8751.0)	(23.0, 12084.0)	(24.0, 17290.0)	(25.0, 26361.0)	(26.0, 40828.0)	(27.0, 62146.0)	(28.0, 92477.0)	(29.0, 130370.0)	(30.0, 176566.0)	(31.0, 229643.0)	(32.0, 299193.0)	(33.0, 402039.0)	(34.0, 627299.0)	(35.0, 1425776.0)	(36.0, 8866320.0)	(37.0, 1352365.0)	(38.0, 555066.0)	(39.0, 2829465.0)	(40.0, 961689.0)		
123C14_R2_001	(11.0, 2.0)	(12.0, 70.0)	(13.0, 426.0)	(14.0, 846.0)	(15.0, 1166.0)	(16.0, 2962.0)	(17.0, 8309.0)	(18.0, 17020.0)	(19.0, 23593.0)	(20.0, 29999.0)	(21.0, 36937.0)	(22.0, 44480.0)	(23.0, 51159.0)	(24.0, 59675.0)	(25.0, 69607.0)	(26.0, 84245.0)	(27.0, 101562.0)	(28.0, 125572.0)	(29.0, 156749.0)	(30.0, 201397.0)	(31.0, 265522.0)	(32.0, 378215.0)	(33.0, 588522.0)	(34.0, 1090695.0)	(35.0, 2812561.0)	(36.0, 7625200.0)	(37.0, 587847.0)	(38.0, 750192.0)	(39.0, 2555003.0)	(40.0, 462241.0)
123C4_R1_001	(13.0, 2.0)	(14.0, 25.0)	(15.0, 150.0)	(16.0, 353.0)	(17.0, 653.0)	(18.0, 958.0)	(19.0, 1669.0)	(20.0, 2824.0)	(21.0, 4756.0)	(22.0, 7108.0)	(23.0, 10837.0)	(24.0, 16748.0)	(25.0, 26945.0)	(26.0, 44556.0)	(27.0, 70013.0)	(28.0, 106260.0)	(29.0, 152728.0)	(30.0, 207686.0)	(31.0, 271779.0)	(32.0, 354251.0)	(33.0, 481302.0)	(34.0, 755505.0)	(35.0, 1747913.0)	(36.0, 10631150.0)	(37.0, 1405421.0)	(38.0, 310643.0)	(39.0, 1614330.0)	(40.0, 643778.0)		
123C4_R2_001	(11.0, 3.0)	(12.0, 50.0)	(13.0, 284.0)	(14.0, 580.0)	(15.0, 960.0)	(16.0, 1972.0)	(17.0, 4699.0)	(18.0, 9065.0)	(19.0, 13292.0)	(20.0, 19102.0)	(21.0, 26515.0)	(22.0, 35183.0)	(23.0, 44364.0)	(24.0, 54415.0)	(25.0, 66574.0)	(26.0, 82791.0)	(27.0, 103109.0)	(28.0, 130735.0)	(29.0, 167501.0)	(30.0, 216560.0)	(31.0, 292245.0)	(32.0, 421595.0)	(33.0, 672213.0)	(34.0, 1279861.0)	(35.0, 3419132.0)	(36.0, 9099874.0)	(37.0, 483428.0)	(38.0, 456569.0)	(39.0, 1492936.0)	(40.0, 274736.0)
123C9_R1_001	(13.0, 3.0)	(14.0, 41.0)	(15.0, 236.0)	(16.0, 511.0)	(17.0, 784.0)	(18.0, 1117.0)	(19.0, 1885.0)	(20.0, 2961.0)	(21.0, 4556.0)	(22.0, 6997.0)	(23.0, 9908.0)	(24.0, 14925.0)	(25.0, 23296.0)	(26.0, 37649.0)	(27.0, 61213.0)	(28.0, 95391.0)	(29.0, 139748.0)	(30.0, 193328.0)	(31.0, 258542.0)	(32.0, 342852.0)	(33.0, 471518.0)	(34.0, 751871.0)	(35.0, 1781029.0)	(36.0, 11079040.0)	(37.0, 1417211.0)	(38.0, 314731.0)	(39.0, 1517495.0)	(40.0, 519887.0)		
123C9_R2_001	(11.0, 1.0)	(12.0, 33.0)	(13.0, 275.0)	(14.0, 643.0)	(15.0, 960.0)	(16.0, 2190.0)	(17.0, 5416.0)	(18.0, 10867.0)	(19.0, 15264.0)	(20.0, 21484.0)	(21.0, 29131.0)	(22.0, 37652.0)	(23.0, 46971.0)	(24.0, 58382.0)	(25.0, 70085.0)	(26.0, 86293.0)	(27.0, 107718.0)	(28.0, 135830.0)	(29.0, 174876.0)	(30.0, 229159.0)	(31.0, 310940.0)	(32.0, 451085.0)	(33.0, 716107.0)	(34.0, 1354212.0)	(35.0, 3532079.0)	(36.0, 9198004.0)	(37.0, 466412.0)	(38.0, 421737.0)	(39.0, 1337057.0)	(40.0, 227862.0)
123H14_R1_001	(13.0, 2.0)	(14.0, 41.0)	(15.0, 241.0)	(16.0, 633.0)	(17.0, 1048.0)	(18.0, 1485.0)	(19.0, 1893.0)	(20.0, 2530.0)	(21.0, 3300.0)	(22.0, 4888.0)	(23.0, 7633.0)	(24.0, 12851.0)	(25.0, 23025.0)	(26.0, 40308.0)	(27.0, 66542.0)	(28.0, 104690.0)	(29.0, 155240.0)	(30.0, 215557.0)	(31.0, 288290.0)	(32.0, 381168.0)	(33.0, 530299.0)	(34.0, 865928.0)	(35.0, 2105028.0)	(36.0, 12477524.0)	(37.0, 1311873.0)					
123H14_R2_001	(12.0, 45.0)	(13.0, 340.0)	(14.0, 683.0)	(15.0, 1057.0)	(16.0, 1545.0)	(17.0, 2407.0)	(18.0, 4189.0)	(19.0, 7842.0)	(20.0, 14371.0)	(21.0, 23635.0)	(22.0, 34547.0)	(23.0, 46722.0)	(24.0, 58318.0)	(25.0, 71631.0)	(26.0, 88644.0)	(27.0, 111912.0)	(28.0, 143470.0)	(29.0, 184753.0)	(30.0, 244263.0)	(31.0, 336728.0)	(32.0, 498573.0)	(33.0, 810880.0)	(34.0, 1548263.0)	(35.0, 3997538.0)	(36.0, 10060124.0)	(37.0, 309537.0)				
123H4_R1_001	(13.0, 8.0)	(14.0, 92.0)	(15.0, 406.0)	(16.0, 880.0)	(17.0, 1337.0)	(18.0, 1789.0)	(19.0, 2668.0)	(20.0, 4187.0)	(21.0, 6398.0)	(22.0, 9417.0)	(23.0, 13062.0)	(24.0, 18511.0)	(25.0, 27646.0)	(26.0, 42967.0)	(27.0, 65940.0)	(28.0, 98601.0)	(29.0, 141036.0)	(30.0, 192052.0)	(31.0, 252666.0)	(32.0, 333098.0)	(33.0, 450271.0)	(34.0, 710101.0)	(35.0, 1632215.0)	(36.0, 10089737.0)	(37.0, 1504505.0)	(38.0, 350685.0)	(39.0, 1746447.0)	(40.0, 636337.0)		
123H4_R2_001	(11.0, 3.0)	(12.0, 81.0)	(13.0, 484.0)	(14.0, 1006.0)	(15.0, 1425.0)	(16.0, 2759.0)	(17.0, 6504.0)	(18.0, 13063.0)	(19.0, 19394.0)	(20.0, 27640.0)	(21.0, 37266.0)	(22.0, 46581.0)	(23.0, 56181.0)	(24.0, 66672.0)	(25.0, 79357.0)	(26.0, 96306.0)	(27.0, 117901.0)	(28.0, 148360.0)	(29.0, 186766.0)	(30.0, 240082.0)	(31.0, 321409.0)	(32.0, 458584.0)	(33.0, 722102.0)	(34.0, 1345651.0)	(35.0, 3390494.0)	(36.0, 8164842.0)	(37.0, 466255.0)	(38.0, 499730.0)	(39.0, 1548531.0)	(40.0, 267630.0)
