Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
123H9_R1_001	(13.0, 10.0)	(14.0, 143.0)	(15.0, 606.0)	(16.0, 1427.0)	(17.0, 2121.0)	(18.0, 3124.0)	(19.0, 4326.0)	(20.0, 6501.0)	(21.0, 9141.0)	(22.0, 12711.0)	(23.0, 17010.0)	(24.0, 23140.0)	(25.0, 32215.0)	(26.0, 48095.0)	(27.0, 71016.0)	(28.0, 104613.0)	(29.0, 148512.0)	(30.0, 201404.0)	(31.0, 265533.0)	(32.0, 350158.0)	(33.0, 472835.0)	(34.0, 732170.0)	(35.0, 1681001.0)	(36.0, 10212274.0)	(37.0, 1426473.0)	(38.0, 395874.0)	(39.0, 2049098.0)	(40.0, 758186.0)		
123H9_R2_001	(11.0, 1.0)	(12.0, 38.0)	(13.0, 347.0)	(14.0, 803.0)	(15.0, 1442.0)	(16.0, 2989.0)	(17.0, 6975.0)	(18.0, 12991.0)	(19.0, 17966.0)	(20.0, 24592.0)	(21.0, 33020.0)	(22.0, 43624.0)	(23.0, 54870.0)	(24.0, 57944.0)	(25.0, 64831.0)	(26.0, 78302.0)	(27.0, 95551.0)	(28.0, 120692.0)	(29.0, 153789.0)	(30.0, 199646.0)	(31.0, 269049.0)	(32.0, 386728.0)	(33.0, 611743.0)	(34.0, 1145783.0)	(35.0, 3033655.0)	(36.0, 9174863.0)	(37.0, 593806.0)	(38.0, 564183.0)	(39.0, 1908520.0)	(40.0, 370974.0)
123L14_R1_001	(13.0, 10.0)	(14.0, 91.0)	(15.0, 549.0)	(16.0, 1292.0)	(17.0, 1923.0)	(18.0, 2729.0)	(19.0, 3500.0)	(20.0, 5181.0)	(21.0, 7305.0)	(22.0, 10558.0)	(23.0, 14226.0)	(24.0, 20626.0)	(25.0, 30993.0)	(26.0, 46859.0)	(27.0, 70957.0)	(28.0, 104762.0)	(29.0, 147088.0)	(30.0, 197589.0)	(31.0, 256299.0)	(32.0, 334453.0)	(33.0, 452467.0)	(34.0, 713949.0)	(35.0, 1657776.0)	(36.0, 9475231.0)	(37.0, 1179091.0)	(38.0, 443305.0)	(39.0, 2124222.0)	(40.0, 708019.0)		
123L14_R2_001	(11.0, 4.0)	(12.0, 83.0)	(13.0, 588.0)	(14.0, 1030.0)	(15.0, 1597.0)	(16.0, 3481.0)	(17.0, 8753.0)	(18.0, 16701.0)	(19.0, 21655.0)	(20.0, 27245.0)	(21.0, 34187.0)	(22.0, 42621.0)	(23.0, 50212.0)	(24.0, 60018.0)	(25.0, 70249.0)	(26.0, 84873.0)	(27.0, 103177.0)	(28.0, 127519.0)	(29.0, 159594.0)	(30.0, 204012.0)	(31.0, 272296.0)	(32.0, 390124.0)	(33.0, 615580.0)	(34.0, 1150384.0)	(35.0, 3006351.0)	(36.0, 8210701.0)	(37.0, 537715.0)	(38.0, 600695.0)	(39.0, 1888766.0)	(40.0, 320839.0)
123L4_R1_001	(12.0, 1.0)	(13.0, 14.0)	(14.0, 298.0)	(15.0, 1257.0)	(16.0, 2501.0)	(17.0, 3783.0)	(18.0, 4674.0)	(19.0, 5738.0)	(20.0, 7502.0)	(21.0, 10031.0)	(22.0, 14025.0)	(23.0, 18858.0)	(24.0, 26786.0)	(25.0, 38122.0)	(26.0, 55115.0)	(27.0, 79692.0)	(28.0, 113463.0)	(29.0, 157972.0)	(30.0, 213173.0)	(31.0, 280152.0)	(32.0, 380172.0)	(33.0, 564011.0)	(34.0, 799652.0)	(35.0, 1751867.0)	(36.0, 10578629.0)	(37.0, 1567876.0)	(38.0, 295295.0)	(39.0, 1402376.0)	(40.0, 461615.0)	
123L4_R2_001	(11.0, 3.0)	(12.0, 62.0)	(13.0, 431.0)	(14.0, 1270.0)	(15.0, 2381.0)	(16.0, 4799.0)	(17.0, 9906.0)	(18.0, 16505.0)	(19.0, 22602.0)	(20.0, 30640.0)	(21.0, 41674.0)	(22.0, 60811.0)	(23.0, 82899.0)	(24.0, 79857.0)	(25.0, 77678.0)	(26.0, 91427.0)	(27.0, 111891.0)	(28.0, 138967.0)	(29.0, 174585.0)	(30.0, 224205.0)	(31.0, 297041.0)	(32.0, 425278.0)	(33.0, 670980.0)	(34.0, 1255660.0)	(35.0, 3266962.0)	(36.0, 9376877.0)	(37.0, 512820.0)	(38.0, 403740.0)	(39.0, 1248822.0)	(40.0, 203877.0)
123L9_R1_001	(13.0, 2.0)	(14.0, 54.0)	(15.0, 330.0)	(16.0, 682.0)	(17.0, 1107.0)	(18.0, 1650.0)	(19.0, 2422.0)	(20.0, 3712.0)	(21.0, 5691.0)	(22.0, 8207.0)	(23.0, 11333.0)	(24.0, 16313.0)	(25.0, 25144.0)	(26.0, 40785.0)	(27.0, 62946.0)	(28.0, 93899.0)	(29.0, 134494.0)	(30.0, 183124.0)	(31.0, 241349.0)	(32.0, 317825.0)	(33.0, 434318.0)	(34.0, 683944.0)	(35.0, 1580810.0)	(36.0, 9915065.0)	(37.0, 1473824.0)	(38.0, 401046.0)	(39.0, 1919547.0)	(40.0, 701112.0)		
123L9_R2_001	(11.0, 3.0)	(12.0, 37.0)	(13.0, 267.0)	(14.0, 565.0)	(15.0, 1059.0)	(16.0, 2739.0)	(17.0, 8110.0)	(18.0, 16173.0)	(19.0, 22484.0)	(20.0, 29760.0)	(21.0, 37615.0)	(22.0, 45509.0)	(23.0, 52926.0)	(24.0, 62846.0)	(25.0, 74028.0)	(26.0, 89567.0)	(27.0, 109173.0)	(28.0, 136997.0)	(29.0, 169804.0)	(30.0, 218782.0)	(31.0, 290883.0)	(32.0, 415620.0)	(33.0, 652077.0)	(34.0, 1219077.0)	(35.0, 3141002.0)	(36.0, 8426713.0)	(37.0, 535131.0)	(38.0, 545781.0)	(39.0, 1658967.0)	(40.0, 297040.0)
123M4_R1_001	(13.0, 11.0)	(14.0, 175.0)	(15.0, 955.0)	(16.0, 2001.0)	(17.0, 3064.0)	(18.0, 3734.0)	(19.0, 4794.0)	(20.0, 6234.0)	(21.0, 8257.0)	(22.0, 11111.0)	(23.0, 14609.0)	(24.0, 20123.0)	(25.0, 29777.0)	(26.0, 45411.0)	(27.0, 69332.0)	(28.0, 103385.0)	(29.0, 148304.0)	(30.0, 203937.0)	(31.0, 269900.0)	(32.0, 356687.0)	(33.0, 486493.0)	(34.0, 771194.0)	(35.0, 1804796.0)	(36.0, 10750653.0)	(37.0, 1392300.0)	(38.0, 309899.0)	(39.0, 1490090.0)	(40.0, 546564.0)		
123M4_R2_001	(11.0, 4.0)	(12.0, 84.0)	(13.0, 610.0)	(14.0, 1436.0)	(15.0, 2290.0)	(16.0, 4039.0)	(17.0, 8299.0)	(18.0, 14011.0)	(19.0, 19327.0)	(20.0, 26680.0)	(21.0, 36263.0)	(22.0, 46898.0)	(23.0, 57848.0)	(24.0, 69017.0)	(25.0, 82080.0)	(26.0, 99790.0)	(27.0, 122537.0)	(28.0, 153850.0)	(29.0, 194669.0)	(30.0, 253151.0)	(31.0, 342331.0)	(32.0, 493450.0)	(33.0, 787525.0)	(34.0, 1479303.0)	(35.0, 3748153.0)	(36.0, 8376500.0)	(37.0, 406349.0)	(38.0, 417083.0)	(39.0, 1347531.0)	(40.0, 262682.0)
123M9_R1_001	(13.0, 4.0)	(14.0, 102.0)	(15.0, 469.0)	(16.0, 1025.0)	(17.0, 1579.0)	(18.0, 2074.0)	(19.0, 2580.0)	(20.0, 3251.0)	(21.0, 4490.0)	(22.0, 6176.0)	(23.0, 9449.0)	(24.0, 15036.0)	(25.0, 26174.0)	(26.0, 44079.0)	(27.0, 71092.0)	(28.0, 108686.0)	(29.0, 157864.0)	(30.0, 216119.0)	(31.0, 287834.0)	(32.0, 379444.0)	(33.0, 532140.0)	(34.0, 840546.0)	(35.0, 1957120.0)	(36.0, 12140013.0)	(37.0, 1517056.0)					
123M9_R2_001	(11.0, 5.0)	(12.0, 143.0)	(13.0, 785.0)	(14.0, 1265.0)	(15.0, 1611.0)	(16.0, 2071.0)	(17.0, 3114.0)	(18.0, 5115.0)	(19.0, 9574.0)	(20.0, 17080.0)	(21.0, 27035.0)	(22.0, 38158.0)	(23.0, 51834.0)	(24.0, 64291.0)	(25.0, 75306.0)	(26.0, 89975.0)	(27.0, 111152.0)	(28.0, 140929.0)	(29.0, 180979.0)	(30.0, 235766.0)	(31.0, 320286.0)	(32.0, 465372.0)	(33.0, 749861.0)	(34.0, 1430422.0)	(35.0, 3756115.0)	(36.0, 10213746.0)	(37.0, 332412.0)			
131415C14_R1_001	(13.0, 4.0)	(14.0, 70.0)	(15.0, 323.0)	(16.0, 753.0)	(17.0, 1064.0)	(18.0, 1492.0)	(19.0, 2104.0)	(20.0, 3187.0)	(21.0, 4754.0)	(22.0, 6891.0)	(23.0, 10001.0)	(24.0, 15579.0)	(25.0, 25722.0)	(26.0, 43137.0)	(27.0, 68582.0)	(28.0, 105834.0)	(29.0, 153610.0)	(30.0, 212129.0)	(31.0, 280094.0)	(32.0, 368838.0)	(33.0, 501984.0)	(34.0, 799771.0)	(35.0, 1879547.0)	(36.0, 11555846.0)	(37.0, 1513164.0)	(38.0, 190453.0)	(39.0, 906209.0)	(40.0, 337168.0)		
131415C14_R2_001	(11.0, 1.0)	(12.0, 44.0)	(13.0, 286.0)	(14.0, 669.0)	(15.0, 1057.0)	(16.0, 2322.0)	(17.0, 5586.0)	(18.0, 10945.0)	(19.0, 16114.0)	(20.0, 22951.0)	(21.0, 31664.0)	(22.0, 41317.0)	(23.0, 51642.0)	(24.0, 64086.0)	(25.0, 77772.0)	(26.0, 96651.0)	(27.0, 119688.0)	(28.0, 151045.0)	(29.0, 191971.0)	(30.0, 249181.0)	(31.0, 333677.0)	(32.0, 484738.0)	(33.0, 768534.0)	(34.0, 1442043.0)	(35.0, 3695325.0)	(36.0, 9527675.0)	(37.0, 411892.0)	(38.0, 249996.0)	(39.0, 787176.0)	(40.0, 152262.0)
131415C4_R1_001	(13.0, 12.0)	(14.0, 148.0)	(15.0, 643.0)	(16.0, 1561.0)	(17.0, 2302.0)	(18.0, 2919.0)	(19.0, 3788.0)	(20.0, 5057.0)	(21.0, 6820.0)	(22.0, 9841.0)	(23.0, 13985.0)	(24.0, 20040.0)	(25.0, 30471.0)	(26.0, 47393.0)	(27.0, 72786.0)	(28.0, 107962.0)	(29.0, 155564.0)	(30.0, 213151.0)	(31.0, 281032.0)	(32.0, 371478.0)	(33.0, 509083.0)	(34.0, 806862.0)	(35.0, 1878462.0)	(36.0, 11258122.0)	(37.0, 1505919.0)	(38.0, 229685.0)	(39.0, 1132129.0)	(40.0, 401316.0)		
131415C4_R2_001	(11.0, 7.0)	(12.0, 111.0)	(13.0, 567.0)	(14.0, 1224.0)	(15.0, 1931.0)	(16.0, 3142.0)	(17.0, 5818.0)	(18.0, 9562.0)	(19.0, 13520.0)	(20.0, 19609.0)	(21.0, 27711.0)	(22.0, 37569.0)	(23.0, 48362.0)	(24.0, 58954.0)	(25.0, 70752.0)	(26.0, 88295.0)	(27.0, 109596.0)	(28.0, 138724.0)	(29.0, 176552.0)	(30.0, 231302.0)	(31.0, 309213.0)	(32.0, 446378.0)	(33.0, 707470.0)	(34.0, 1326206.0)	(35.0, 3443954.0)	(36.0, 9751946.0)	(37.0, 480654.0)	(38.0, 315613.0)	(39.0, 1046076.0)	(40.0, 197713.0)
131415C9_R1_001	(13.0, 6.0)	(14.0, 108.0)	(15.0, 483.0)	(16.0, 1090.0)	(17.0, 1659.0)	(18.0, 2209.0)	(19.0, 2762.0)	(20.0, 4149.0)	(21.0, 5653.0)	(22.0, 7637.0)	(23.0, 10488.0)	(24.0, 15093.0)	(25.0, 23141.0)	(26.0, 37096.0)	(27.0, 59414.0)	(28.0, 91417.0)	(29.0, 134930.0)	(30.0, 188141.0)	(31.0, 252113.0)	(32.0, 332928.0)	(33.0, 454170.0)	(34.0, 718777.0)	(35.0, 1673517.0)	(36.0, 10747913.0)	(37.0, 1525846.0)	(38.0, 284719.0)	(39.0, 1421820.0)	(40.0, 524828.0)		
131415C9_R2_001	(11.0, 4.0)	(12.0, 26.0)	(13.0, 177.0)	(14.0, 486.0)	(15.0, 1055.0)	(16.0, 2565.0)	(17.0, 6271.0)	(18.0, 12189.0)	(19.0, 16417.0)	(20.0, 22020.0)	(21.0, 29059.0)	(22.0, 36707.0)	(23.0, 44299.0)	(24.0, 53674.0)	(25.0, 64493.0)	(26.0, 80486.0)	(27.0, 100465.0)	(28.0, 127143.0)	(29.0, 161561.0)	(30.0, 210647.0)	(31.0, 284370.0)	(32.0, 407131.0)	(33.0, 644839.0)	(34.0, 1209534.0)	(35.0, 3179869.0)	(36.0, 9463381.0)	(37.0, 521130.0)	(38.0, 399836.0)	(39.0, 1239048.0)	(40.0, 203225.0)
131415H14_R1_001	(13.0, 3.0)	(14.0, 71.0)	(15.0, 345.0)	(16.0, 726.0)	(17.0, 1163.0)	(18.0, 1705.0)	(19.0, 2310.0)	(20.0, 3250.0)	(21.0, 4667.0)	(22.0, 6685.0)	(23.0, 9731.0)	(24.0, 14934.0)	(25.0, 24883.0)	(26.0, 41042.0)	(27.0, 66173.0)	(28.0, 102161.0)	(29.0, 148605.0)	(30.0, 205775.0)	(31.0, 272537.0)	(32.0, 358911.0)	(33.0, 486669.0)	(34.0, 768478.0)	(35.0, 1805924.0)	(36.0, 11700659.0)	(37.0, 1581875.0)	(38.0, 207674.0)	(39.0, 1021737.0)	(40.0, 377295.0)		
131415H14_R2_001	(12.0, 32.0)	(13.0, 252.0)	(14.0, 621.0)	(15.0, 1026.0)	(16.0, 2058.0)	(17.0, 4574.0)	(18.0, 8510.0)	(19.0, 12234.0)	(20.0, 18004.0)	(21.0, 25542.0)	(22.0, 34592.0)	(23.0, 44123.0)	(24.0, 54579.0)	(25.0, 67132.0)	(26.0, 83154.0)	(27.0, 105547.0)	(28.0, 135097.0)	(29.0, 172863.0)	(30.0, 225680.0)	(31.0, 306314.0)	(32.0, 445485.0)	(33.0, 712464.0)	(34.0, 1373138.0)	(35.0, 3685487.0)	(36.0, 9912336.0)	(37.0, 433638.0)	(38.0, 295114.0)	(39.0, 904303.0)	(40.0, 152089.0)	
131415H4_R1_001	(13.0, 13.0)	(14.0, 170.0)	(15.0, 664.0)	(16.0, 1589.0)	(17.0, 2317.0)	(18.0, 2849.0)	(19.0, 3501.0)	(20.0, 4543.0)	(21.0, 5732.0)	(22.0, 7860.0)	(23.0, 11531.0)	(24.0, 17855.0)	(25.0, 29496.0)	(26.0, 48400.0)	(27.0, 78143.0)	(28.0, 118793.0)	(29.0, 173456.0)	(30.0, 237059.0)	(31.0, 313146.0)	(32.0, 408924.0)	(33.0, 552400.0)	(34.0, 863708.0)	(35.0, 2000175.0)	(36.0, 13475673.0)	(37.0, 2007923.0)					
131415H4_R2_001	(11.0, 5.0)	(12.0, 72.0)	(13.0, 460.0)	(14.0, 1068.0)	(15.0, 1652.0)	(16.0, 2388.0)	(17.0, 3725.0)	(18.0, 5668.0)	(19.0, 9134.0)	(20.0, 15031.0)	(21.0, 23328.0)	(22.0, 33503.0)	(23.0, 45372.0)	(24.0, 56991.0)	(25.0, 71827.0)	(26.0, 90425.0)	(27.0, 115457.0)	(28.0, 147429.0)	(29.0, 190844.0)	(30.0, 249843.0)	(31.0, 336196.0)	(32.0, 484482.0)	(33.0, 772415.0)	(34.0, 1456490.0)	(35.0, 3866654.0)	(36.0, 11934624.0)	(37.0, 450837.0)			
131415H9_R1_001	(13.0, 2.0)	(14.0, 43.0)	(15.0, 231.0)	(16.0, 608.0)	(17.0, 921.0)	(18.0, 1311.0)	(19.0, 2038.0)	(20.0, 3228.0)	(21.0, 4919.0)	(22.0, 7321.0)	(23.0, 10690.0)	(24.0, 16450.0)	(25.0, 26983.0)	(26.0, 44563.0)	(27.0, 69819.0)	(28.0, 105967.0)	(29.0, 151396.0)	(30.0, 205811.0)	(31.0, 270605.0)	(32.0, 354730.0)	(33.0, 480326.0)	(34.0, 759533.0)	(35.0, 1782721.0)	(36.0, 11175517.0)	(37.0, 1516992.0)	(38.0, 233178.0)	(39.0, 1131989.0)	(40.0, 393228.0)		
131415H9_R2_001	(11.0, 1.0)	(12.0, 68.0)	(13.0, 334.0)	(14.0, 718.0)	(15.0, 1073.0)	(16.0, 2197.0)	(17.0, 5143.0)	(18.0, 10273.0)	(19.0, 15167.0)	(20.0, 22679.0)	(21.0, 32038.0)	(22.0, 42192.0)	(23.0, 51943.0)	(24.0, 63004.0)	(25.0, 76296.0)	(26.0, 93071.0)	(27.0, 115917.0)	(28.0, 145172.0)	(29.0, 184075.0)	(30.0, 238596.0)	(31.0, 320790.0)	(32.0, 462239.0)	(33.0, 734962.0)	(34.0, 1390717.0)	(35.0, 3621835.0)	(36.0, 9233172.0)	(37.0, 419167.0)	(38.0, 323547.0)	(39.0, 987330.0)	(40.0, 157404.0)
131415L14_R1_001	(13.0, 5.0)	(14.0, 83.0)	(15.0, 340.0)	(16.0, 798.0)	(17.0, 1292.0)	(18.0, 1807.0)	(19.0, 2424.0)	(20.0, 3408.0)	(21.0, 4797.0)	(22.0, 7058.0)	(23.0, 10234.0)	(24.0, 16224.0)	(25.0, 27147.0)	(26.0, 44967.0)	(27.0, 72046.0)	(28.0, 108264.0)	(29.0, 156771.0)	(30.0, 214326.0)	(31.0, 282434.0)	(32.0, 375015.0)	(33.0, 513256.0)	(34.0, 816455.0)	(35.0, 1934506.0)	(36.0, 11766924.0)	(37.0, 1407884.0)	(38.0, 211273.0)	(39.0, 990729.0)	(40.0, 303198.0)		
131415L14_R2_001	(11.0, 6.0)	(12.0, 90.0)	(13.0, 493.0)	(14.0, 1014.0)	(15.0, 1374.0)	(16.0, 2685.0)	(17.0, 5886.0)	(18.0, 11195.0)	(19.0, 16770.0)	(20.0, 25149.0)	(21.0, 35783.0)	(22.0, 47368.0)	(23.0, 58724.0)	(24.0, 70355.0)	(25.0, 84516.0)	(26.0, 101545.0)	(27.0, 124708.0)	(28.0, 156294.0)	(29.0, 197584.0)	(30.0, 254330.0)	(31.0, 342430.0)	(32.0, 491636.0)	(33.0, 781846.0)	(34.0, 1472120.0)	(35.0, 3801055.0)	(36.0, 9530530.0)	(37.0, 398428.0)	(38.0, 270756.0)	(39.0, 844066.0)	(40.0, 144929.0)
131415L4_R1_001	(13.0, 7.0)	(14.0, 92.0)	(15.0, 414.0)	(16.0, 826.0)	(17.0, 1307.0)	(18.0, 1628.0)	(19.0, 2401.0)	(20.0, 3796.0)	(21.0, 6544.0)	(22.0, 11263.0)	(23.0, 18012.0)	(24.0, 27598.0)	(25.0, 41400.0)	(26.0, 61681.0)	(27.0, 93039.0)	(28.0, 136669.0)	(29.0, 192966.0)	(30.0, 261874.0)	(31.0, 347299.0)	(32.0, 460766.0)	(33.0, 659861.0)	(34.0, 1034769.0)	(35.0, 2427602.0)	(36.0, 12035912.0)	(37.0, 1173944.0)					
131415L4_R2_001	(11.0, 5.0)	(12.0, 83.0)	(13.0, 433.0)	(14.0, 856.0)	(15.0, 1271.0)	(16.0, 1892.0)	(17.0, 2952.0)	(18.0, 4818.0)	(19.0, 8341.0)	(20.0, 14304.0)	(21.0, 23972.0)	(22.0, 38557.0)	(23.0, 56411.0)	(24.0, 62281.0)	(25.0, 71964.0)	(26.0, 89654.0)	(27.0, 114719.0)	(28.0, 148576.0)	(29.0, 198155.0)	(30.0, 264606.0)	(31.0, 367926.0)	(32.0, 545964.0)	(33.0, 889583.0)	(34.0, 1684219.0)	(35.0, 4241509.0)	(36.0, 9918979.0)	(37.0, 249640.0)			
131415L9_R1_001	(13.0, 6.0)	(14.0, 160.0)	(15.0, 730.0)	(16.0, 1559.0)	(17.0, 2393.0)	(18.0, 3022.0)	(19.0, 3740.0)	(20.0, 4735.0)	(21.0, 6195.0)	(22.0, 8366.0)	(23.0, 11554.0)	(24.0, 16530.0)	(25.0, 25781.0)	(26.0, 42128.0)	(27.0, 66439.0)	(28.0, 102951.0)	(29.0, 150560.0)	(30.0, 208868.0)	(31.0, 279003.0)	(32.0, 372148.0)	(33.0, 513376.0)	(34.0, 827977.0)	(35.0, 1960828.0)	(36.0, 11960681.0)	(37.0, 1467883.0)	(38.0, 169379.0)	(39.0, 824970.0)	(40.0, 263060.0)		
131415L9_R2_001	(11.0, 1.0)	(12.0, 70.0)	(13.0, 481.0)	(14.0, 1177.0)	(15.0, 1906.0)	(16.0, 3365.0)	(17.0, 7340.0)	(18.0, 13241.0)	(19.0, 20092.0)	(20.0, 29915.0)	(21.0, 42762.0)	(22.0, 58157.0)	(23.0, 74598.0)	(24.0, 82734.0)	(25.0, 93865.0)	(26.0, 113442.0)	(27.0, 140451.0)	(28.0, 176433.0)	(29.0, 222282.0)	(30.0, 287419.0)	(31.0, 388017.0)	(32.0, 564232.0)	(33.0, 896146.0)	(34.0, 1672393.0)	(35.0, 4136636.0)	(36.0, 8942918.0)	(37.0, 332985.0)	(38.0, 245306.0)	(39.0, 662880.0)	(40.0, 83778.0)
131415M14_R1_001	(13.0, 7.0)	(14.0, 124.0)	(15.0, 586.0)	(16.0, 1429.0)	(17.0, 2297.0)	(18.0, 2904.0)	(19.0, 3777.0)	(20.0, 4898.0)	(21.0, 6761.0)	(22.0, 8975.0)	(23.0, 12517.0)	(24.0, 18408.0)	(25.0, 28559.0)	(26.0, 44903.0)	(27.0, 69112.0)	(28.0, 104917.0)	(29.0, 151959.0)	(30.0, 209941.0)	(31.0, 280224.0)	(32.0, 371567.0)	(33.0, 514129.0)	(34.0, 828795.0)	(35.0, 1988072.0)	(36.0, 11943023.0)	(37.0, 1430127.0)	(38.0, 191622.0)	(39.0, 886683.0)	(40.0, 293314.0)		
131415M14_R2_001	(11.0, 3.0)	(12.0, 25.0)	(13.0, 160.0)	(14.0, 585.0)	(15.0, 1338.0)	(16.0, 2801.0)	(17.0, 6393.0)	(18.0, 11548.0)	(19.0, 16197.0)	(20.0, 22787.0)	(21.0, 32056.0)	(22.0, 43867.0)	(23.0, 57562.0)	(24.0, 66868.0)	(25.0, 79941.0)	(26.0, 99596.0)	(27.0, 125457.0)	(28.0, 158234.0)	(29.0, 202055.0)	(30.0, 261057.0)	(31.0, 353476.0)	(32.0, 512705.0)	(33.0, 818258.0)	(34.0, 1534545.0)	(35.0, 3890228.0)	(36.0, 9606809.0)	(37.0, 392318.0)	(38.0, 254947.0)	(39.0, 734184.0)	(40.0, 113630.0)
131415M4_R1_001	(13.0, 6.0)	(14.0, 83.0)	(15.0, 383.0)	(16.0, 867.0)	(17.0, 1330.0)	(18.0, 1821.0)	(19.0, 2697.0)	(20.0, 3988.0)	(21.0, 5910.0)	(22.0, 8660.0)	(23.0, 12551.0)	(24.0, 18388.0)	(25.0, 28943.0)	(26.0, 45740.0)	(27.0, 70933.0)	(28.0, 105944.0)	(29.0, 151990.0)	(30.0, 206871.0)	(31.0, 273231.0)	(32.0, 359642.0)	(33.0, 491555.0)	(34.0, 781809.0)	(35.0, 1810319.0)	(36.0, 11034010.0)	(37.0, 1508937.0)	(38.0, 296362.0)	(39.0, 1385761.0)	(40.0, 426049.0)		
131415M4_R2_001	(12.0, 43.0)	(13.0, 291.0)	(14.0, 661.0)	(15.0, 1147.0)	(16.0, 2580.0)	(17.0, 6453.0)	(18.0, 13259.0)	(19.0, 19040.0)	(20.0, 26520.0)	(21.0, 36067.0)	(22.0, 46225.0)	(23.0, 56160.0)	(24.0, 67093.0)	(25.0, 79763.0)	(26.0, 96616.0)	(27.0, 117325.0)	(28.0, 148109.0)	(29.0, 186986.0)	(30.0, 240678.0)	(31.0, 323178.0)	(32.0, 461924.0)	(33.0, 728332.0)	(34.0, 1358731.0)	(35.0, 3477533.0)	(36.0, 9289961.0)	(37.0, 476818.0)	(38.0, 385296.0)	(39.0, 1184422.0)	(40.0, 203569.0)	
131415M9_R1_001	(13.0, 1.0)	(14.0, 63.0)	(15.0, 273.0)	(16.0, 593.0)	(17.0, 948.0)	(18.0, 1473.0)	(19.0, 1931.0)	(20.0, 2999.0)	(21.0, 4497.0)	(22.0, 6778.0)	(23.0, 9927.0)	(24.0, 15278.0)	(25.0, 25686.0)	(26.0, 42091.0)	(27.0, 66724.0)	(28.0, 102357.0)	(29.0, 147905.0)	(30.0, 202794.0)	(31.0, 266751.0)	(32.0, 349159.0)	(33.0, 471036.0)	(34.0, 738084.0)	(35.0, 1700520.0)	(36.0, 11438622.0)	(37.0, 1705458.0)	(38.0, 202235.0)	(39.0, 1024043.0)	(40.0, 393624.0)		
131415M9_R2_001	(12.0, 59.0)	(13.0, 520.0)	(14.0, 970.0)	(15.0, 1348.0)	(16.0, 2314.0)	(17.0, 4545.0)	(18.0, 8839.0)	(19.0, 13505.0)	(20.0, 20179.0)	(21.0, 29462.0)	(22.0, 39361.0)	(23.0, 49839.0)	(24.0, 62407.0)	(25.0, 77249.0)	(26.0, 95182.0)	(27.0, 119240.0)	(28.0, 150265.0)	(29.0, 190461.0)	(30.0, 248042.0)	(31.0, 334565.0)	(32.0, 483510.0)	(33.0, 773141.0)	(34.0, 1474024.0)	(35.0, 3853025.0)	(36.0, 9111201.0)	(37.0, 346520.0)	(38.0, 261018.0)	(39.0, 968432.0)	(40.0, 202627.0)	
13M14_R1_001	(13.0, 7.0)	(14.0, 85.0)	(15.0, 429.0)	(16.0, 949.0)	(17.0, 1628.0)	(18.0, 2077.0)	(19.0, 2725.0)	(20.0, 3504.0)	(21.0, 4839.0)	(22.0, 7120.0)	(23.0, 10651.0)	(24.0, 16704.0)	(25.0, 27279.0)	(26.0, 44842.0)	(27.0, 72266.0)	(28.0, 111755.0)	(29.0, 162352.0)	(30.0, 222720.0)	(31.0, 293941.0)	(32.0, 383830.0)	(33.0, 519686.0)	(34.0, 823755.0)	(35.0, 1942977.0)	(36.0, 12249032.0)	(37.0, 1507948.0)					
13M14_R2_001	(11.0, 3.0)	(12.0, 43.0)	(13.0, 325.0)	(14.0, 706.0)	(15.0, 1050.0)	(16.0, 1651.0)	(17.0, 2441.0)	(18.0, 3833.0)	(19.0, 6302.0)	(20.0, 10379.0)	(21.0, 16686.0)	(22.0, 25397.0)	(23.0, 35729.0)	(24.0, 45342.0)	(25.0, 57526.0)	(26.0, 73344.0)	(27.0, 94957.0)	(28.0, 124016.0)	(29.0, 162883.0)	(30.0, 214457.0)	(31.0, 295412.0)	(32.0, 433778.0)	(33.0, 704695.0)	(34.0, 1368854.0)	(35.0, 3756316.0)	(36.0, 10638401.0)	(37.0, 338575.0)			
456C4_R1_001	(13.0, 16.0)	(14.0, 153.0)	(15.0, 619.0)	(16.0, 1310.0)	(17.0, 1932.0)	(18.0, 2616.0)	(19.0, 3522.0)	(20.0, 5219.0)	(21.0, 6978.0)	(22.0, 9731.0)	(23.0, 12794.0)	(24.0, 17272.0)	(25.0, 25352.0)	(26.0, 39235.0)	(27.0, 60320.0)	(28.0, 92026.0)	(29.0, 134310.0)	(30.0, 185875.0)	(31.0, 247914.0)	(32.0, 328844.0)	(33.0, 447162.0)	(34.0, 704140.0)	(35.0, 1600665.0)	(36.0, 10369827.0)	(37.0, 1655170.0)	(38.0, 417237.0)	(39.0, 2123826.0)	(40.0, 737168.0)		
