Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
101112C14_R1_001 - illumina_universal_adapter	(1, 0.0016053741177448858)	(2, 0.0016053741177448858)	(3, 0.001627141902392274)	(4, 0.0017087710948199802)	(5, 0.0017087710948199802)	(6, 0.0017631905564384509)	(7, 0.0018230519642187686)	(8, 0.001850261695028004)	(9, 0.0018829133719990864)	(10, 0.002010799106802493)	(12, 0.0021114751107966633)	(14, 0.002225755980195452)	(16, 0.002391735338131787)	(18, 0.008557460339504518)	(20, 0.008764254293654707)	(22, 0.00888125613613442)	(24, 0.008976490193966742)	(26, 0.009177842201955083)	(28, 0.009390078102267121)	(30, 0.009629523733388393)	(32, 0.00992883077228998)	(34, 0.010176439322654022)	(36, 0.010535607769335927)	(38, 0.010853961619803981)	(40, 0.01112877990097726)	(42, 0.011547809755439484)	(44, 0.012023980044601102)	(46, 0.012687897476346445)	(48, 0.013368140746577328)	(50, 0.014105524451507607)	(52, 0.014970793891241292)	(54, 0.015980274904263923)	(56, 0.016981592998043783)	(58, 0.01845636040790434)	(60, 0.020091665229539386)	(62, 0.021914717193758156)	(64, 0.023988098681421887)	(66, 0.026194807850050874)	(68, 0.02924773964684708)	(70, 0.033010845417764334)	(72, 0.037824246797918064)	(74, 0.0436090355679615)	(76, 0.05034072297016633)	(78, 0.05821249809327811)	(80, 0.067539993814684)	(82, 0.0797027434864122)	(84, 0.09408308621909309)	(86, 0.11110821478643164)	(88, 0.1298203466639428)	(90, 0.15280984822466576)	(92, 0.18178549056342047)	(94, 0.21703569682678486)	(96, 0.2565224581771472)	(98, 0.30046889440714325)	(100, 0.35059738147699754)	(102, 0.40989554782956417)	(104, 0.4804939153872062)	(106, 0.5587708689792144)	(108, 0.6467616964701197)	(110, 0.7437262931819109)	(112, 0.8540236579902273)	(114, 0.9803529961913451)	(116, 1.1208613251171555)	(118, 1.2665803174929346)	(120, 1.4225628203299572)	(122, 1.5983023087075656)	(124, 1.7942885577803258)	(126, 2.0035123408917794)	(128, 2.2190732703087037)	(130, 2.441790358928457)	(132, 2.6821747257626467)	(134, 2.9445418341176177)	(136, 3.218337029412467)	(138, 3.4985646050706203)
101112C14_R1_001 - polya	(1, 0.006514009555730943)	(2, 0.008892140028458114)	(3, 0.010981847354607388)	(4, 0.013202161388640993)	(5, 0.015857831115622365)	(6, 0.018377452188557557)	(7, 0.02147391955464854)	(8, 0.025473749983606138)	(9, 0.030306198175326336)	(10, 0.03750317197436909)	(12, 0.04335326409835469)	(14, 0.04877072150247344)	(16, 0.05369840375202597)	(18, 0.05858255043228371)	(20, 0.06303406239267462)	(22, 0.06758897133014062)	(24, 0.07241869854877989)	(26, 0.07728107744439025)	(28, 0.0817951717856424)	(30, 0.08636640656159394)	(32, 0.09042065645217)	(34, 0.09449667412739346)	(36, 0.09945156610775521)	(38, 0.1045370647960013)	(40, 0.10915727708740947)	(42, 0.1141312158793377)	(44, 0.1185936117320523)	(46, 0.12271588594965144)	(48, 0.12704495412140077)	(50, 0.13160530500502865)	(52, 0.13591260539213057)	(54, 0.1406062839567237)	(56, 0.14559654858713744)	(58, 0.1505051840251235)	(60, 0.1548859506854104)	(62, 0.16001226396987034)	(64, 0.16501613346568872)	(66, 0.16954655364542642)	(68, 0.17416676593683456)	(70, 0.17933389381750836)	(72, 0.18379356869714203)	(74, 0.18809270616500123)	(76, 0.1926802667794383)	(78, 0.19684607656633224)	(80, 0.20097651370317415)	(82, 0.2056157728061488)	(84, 0.20989858443552242)	(86, 0.21480721987350848)	(88, 0.21987367175018813)	(90, 0.2244476274992206)	(92, 0.22972631527621223)	(94, 0.23488255926456234)	(96, 0.23987826584113794)	(98, 0.2447896222522049)	(100, 0.24924385518567677)	(102, 0.2539429756964317)	(104, 0.2588325643228513)	(106, 0.2630473516252019)	(108, 0.26759681861650597)	(110, 0.2725326637853013)	(112, 0.27726715694610826)	(114, 0.2816778543102853)	(116, 0.2860232483205202)	(118, 0.2905019700117203)	(120, 0.2959520790928102)	(122, 0.3007790853383685)	(124, 0.30576934996878224)	(126, 0.3104847963180227)	(128, 0.31491181952068537)	(130, 0.3194667284581514)	(132, 0.3246692289888772)	(134, 0.3295642595614586)	(136, 0.33438582386085514)	(138, 0.33918834134868514)
101112C14_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00017958422334095334)	(4, 0.0003319587158726713)	(5, 0.0005061009930517775)	(6, 0.0006530335394216484)	(7, 0.0007999660857915193)	(8, 0.0011264828555023435)	(9, 0.001534628817640874)	(10, 0.0020815444069065044)	(12, 0.002769950596380159)	(14, 0.0034393099742873485)	(16, 0.0040324821059286795)	(18, 0.004652863968379245)	(20, 0.0052678038846679645)	(22, 0.0059589310472225425)	(24, 0.006701756698314668)	(26, 0.007379278995464628)	(28, 0.008092173942666593)	(30, 0.008859488351487031)	(32, 0.009624081787226544)	(34, 0.010464862469231916)	(36, 0.011278433420428054)	(38, 0.012111051183190655)	(40, 0.012989925488328957)	(42, 0.013787170601039553)	(44, 0.01462250933688308)	(46, 0.015452406126564757)	(48, 0.016320396539379365)	(50, 0.017144851382899194)	(52, 0.017966585253338104)	(54, 0.018959740427875196)	(56, 0.019873987383065502)	(58, 0.020741977795880107)	(60, 0.02161813112793749)	(62, 0.022532378083127795)	(64, 0.02338132168437594)	(66, 0.024186729716329305)	(68, 0.025498238741334448)	(70, 0.042711114451256735)	(72, 0.045897373929018194)	(74, 0.04715990543856671)	(76, 0.04831359802487829)	(78, 0.04952987299205111)	(80, 0.050757031851547625)	(82, 0.051807327460784106)	(84, 0.052939252262448305)	(86, 0.05422899350280606)	(88, 0.060781096681669936)	(90, 0.062468099991842524)	(92, 0.06381498166689967)	(94, 0.0651020019341765)	(96, 0.06656044350555151)	(98, 0.06809235135011146)	(100, 0.06949093151370617)	(102, 0.07099018768129503)	(104, 0.07243502438726543)	(106, 0.07407032920890047)	(108, 0.07586889241539094)	(110, 0.07760487324102014)	(112, 0.0794496929898863)	(114, 0.08140063068890849)	(116, 0.08358557207289008)	(118, 0.08598002838410279)	(120, 0.08846971875314782)	(122, 0.0910111076107304)	(124, 0.09384636156105274)	(126, 0.09661631215743288)	(128, 0.09988420082762206)	(130, 0.10359016616383991)	(132, 0.10749204156188426)	(134, 0.11170954983731574)	(136, 0.11622908612472974)	(138, 0.12149416903631677)
101112C14_R2_001 - illumina_universal_adapter	(1, 0.0015836063330974975)	(2, 0.0015836063330974975)	(3, 0.001621699956230427)	(4, 0.0016870033101725919)	(5, 0.0016870033101725919)	(6, 0.0017250969333055214)	(7, 0.0017849583410858392)	(8, 0.0018121680718950744)	(9, 0.001844819748866157)	(10, 0.001956379645184022)	(12, 0.0020597766222591163)	(14, 0.0021740574916579046)	(16, 0.002342757822675164)	(18, 0.008511203797128818)	(20, 0.008707113858955312)	(22, 0.008848604459163335)	(24, 0.008992816032452285)	(26, 0.009237703609735401)	(28, 0.00948259118701852)	(30, 0.009754688495110873)	(32, 0.010111135968711858)	(34, 0.010424047873018063)	(36, 0.010881171350613218)	(38, 0.011278433420428054)	(40, 0.011651206732514578)	(42, 0.01220628524102298)	(44, 0.012780410561097844)	(46, 0.013610307350779524)	(48, 0.014421157328894737)	(50, 0.015389823745703515)	(52, 0.016489096870396625)	(54, 0.017743465460702372)	(56, 0.019027764754898282)	(58, 0.020755582661284726)	(60, 0.022706520360306903)	(62, 0.024869693959641115)	(64, 0.027285918055501214)	(66, 0.029835469832326565)	(68, 0.03329926856434222)	(70, 0.03743242667426508)	(72, 0.04274376612822782)	(74, 0.048928537941167013)	(76, 0.056128232713290684)	(78, 0.06463127359117674)	(80, 0.07438596208628762)	(82, 0.08705481275106758)	(84, 0.10192765161139564)	(86, 0.11933643738314441)	(88, 0.13833427143415253)	(90, 0.16188973539570756)	(92, 0.19126536077735806)	(94, 0.22679038532189574)	(96, 0.2666145473342926)	(98, 0.3109119890917278)	(100, 0.3612772008196224)	(102, 0.4208556273995241)	(104, 0.491815884376929)	(106, 0.569959510287972)	(108, 0.6575476337629006)	(110, 0.7540632699163393)	(112, 0.8639851404394883)	(114, 0.9901539412288317)	(116, 1.1299303283958737)	(118, 1.2739786432999658)	(120, 1.4286958936543588)	(122, 1.6023565585981416)	(124, 1.7960000498482267)	(126, 2.0030116818448893)	(128, 2.215935988346399)	(130, 2.436103525189327)	(132, 2.673432239253639)	(134, 2.9309805042822945)	(136, 3.200013996685528)	(138, 3.4751070961399786)
101112C14_R2_001 - polya	(1, 0.034926410466734496)	(2, 0.04307844581718141)	(3, 0.04911900605683166)	(4, 0.05604660352086298)	(5, 0.06337690500087098)	(6, 0.07026640884176938)	(7, 0.07786880762986974)	(8, 0.08652150202720657)	(9, 0.09620816619529436)	(10, 0.10997901095784837)	(12, 0.12466138170251177)	(14, 0.1396022448898629)	(16, 0.15353090609111048)	(18, 0.16754935940402854)	(20, 0.18088484847363479)	(22, 0.1946937868593217)	(24, 0.20861972708748838)	(26, 0.22116885493670774)	(28, 0.23422136280589792)	(30, 0.24776364582965438)	(32, 0.26031005270579277)	(34, 0.27318025537856105)	(36, 0.2866409092098898)	(38, 0.29997639827949607)	(40, 0.31307516269106195)	(42, 0.3260814140178765)	(44, 0.338872708471298)	(46, 0.3515714898399681)	(48, 0.36411789671610656)	(50, 0.37639220628415265)	(52, 0.38842162827491555)	(54, 0.4009408254202448)	(56, 0.4133919982385509)	(58, 0.42551937526022704)	(60, 0.4381746210596025)	(62, 0.4514067131521336)	(64, 0.4648455991988149)	(66, 0.4777811052255254)	(68, 0.4904390719979817)	(70, 0.5021474191651957)	(72, 0.5138258356285195)	(74, 0.5261953792543979)	(76, 0.5384016644954208)	(78, 0.5499957307932359)	(80, 0.5620360366763226)	(82, 0.5738831534706637)	(84, 0.5857520380496521)	(86, 0.5984127257951894)	(88, 0.611204020248611)	(90, 0.6234973766282235)	(92, 0.6356900570038418)	(94, 0.6479099471102694)	(96, 0.6602413971130149)	(98, 0.6719851169302808)	(100, 0.6839900501633156)	(102, 0.6948739424870096)	(104, 0.7062612148306746)	(106, 0.7174716239240797)	(108, 0.7290765741142184)	(110, 0.740480172296369)	(112, 0.7518892124246814)	(114, 0.7628003144791848)	(116, 0.7738256974030869)	(118, 0.7848510803269891)	(120, 0.7967118019867347)	(122, 0.8079439788647872)	(124, 0.8195570919741688)	(126, 0.8311566002181459)	(128, 0.842391498069279)	(130, 0.8538440737668863)	(132, 0.8656803066689036)	(134, 0.8772662100474762)	(136, 0.8881637072365749)	(138, 0.899368674383818)
101112C14_R2_001 - polyg	(1, 0.030006891136424747)	(2, 0.03144900686931422)	(3, 0.031857152831452754)	(4, 0.032221763224296505)	(5, 0.03253739610168364)	(6, 0.03282581924826153)	(7, 0.03319042964110528)	(8, 0.03359313365708197)	(9, 0.034110118542457435)	(10, 0.034915526574410806)	(12, 0.03602840456450853)	(14, 0.03695353541202254)	(16, 0.03759840603220141)	(18, 0.03834939460253631)	(20, 0.03900242814195795)	(22, 0.039611926112084826)	(24, 0.04027040159766832)	(26, 0.04097241265254659)	(28, 0.04161456229964455)	(30, 0.0423029684891182)	(32, 0.0429968166247537)	(34, 0.043878411902972925)	(36, 0.04470014577341184)	(38, 0.045413040720613806)	(40, 0.04613137761397762)	(42, 0.04692045980744544)	(44, 0.04773947270480343)	(46, 0.04853127587135218)	(48, 0.04930675319941538)	(50, 0.0500713466351549)	(52, 0.05079784644776148)	(54, 0.05161141739895762)	(56, 0.052525664354147926)	(58, 0.05335284017074868)	(60, 0.05432150658755745)	(62, 0.05523303256966684)	(64, 0.05614727952485715)	(66, 0.05702615382999545)	(68, 0.05809277527771747)	(70, 0.05900974320598871)	(72, 0.060011061299768576)	(74, 0.0610314262051149)	(76, 0.06321364661601557)	(78, 0.06484350949148877)	(80, 0.06603801667401421)	(82, 0.06758625035705969)	(84, 0.06935760383274092)	(86, 0.07105277006215627)	(88, 0.07293840440723628)	(90, 0.07473968858680767)	(92, 0.07786336568370789)	(94, 0.08357468818056638)	(96, 0.0852997851138719)	(98, 0.08692692701626417)	(100, 0.08848876556471429)	(102, 0.09019209471337242)	(104, 0.09185733023889762)	(106, 0.09355521744139392)	(108, 0.09537282745945083)	(110, 0.09719587942366961)	(112, 0.09932640134603274)	(114, 0.10120659374495089)	(116, 0.10322827674407709)	(118, 0.10525812266244604)	(120, 0.10755190296966458)	(122, 0.10985928814228774)	(124, 0.11244693354224602)	(126, 0.11509444034998462)	(128, 0.11803037030430111)	(130, 0.12107241820877362)	(132, 0.1243294229866391)	(134, 0.12774424420319813)	(136, 0.13142027883552582)	(138, 0.1354962965107493)
101112C4_R1_001 - illumina_universal_adapter	(1, 0.005585181248174178)	(2, 0.005611777349355959)	(3, 0.00571284253384673)	(4, 0.005883057581410134)	(5, 0.0059202921230646285)	(6, 0.005989441986137261)	(7, 0.006031995748028112)	(8, 0.006069230289682606)	(9, 0.006101145611100744)	(10, 0.006388383503863988)	(12, 0.0066038119234364204)	(14, 0.006843176834072456)	(16, 0.006986795780454079)	(18, 0.007883084390280124)	(20, 0.00810915125032527)	(22, 0.008367133431788553)	(24, 0.008558625360297382)	(26, 0.008872459354242409)	(28, 0.009165016467242007)	(30, 0.00949746773201428)	(32, 0.009949601452104571)	(34, 0.010409714002549395)	(36, 0.010925678365475963)	(38, 0.011446961948638885)	(40, 0.012000160853219947)	(42, 0.012675701823237205)	(44, 0.013300710201009078)	(46, 0.014024124153153543)	(48, 0.01482998601896153)	(50, 0.015947022268596366)	(52, 0.017274167717567276)	(54, 0.01859067472606548)	(56, 0.019899202904209143)	(58, 0.021606672600079535)	(60, 0.023875320030885522)	(62, 0.02625567108665499)	(64, 0.028646660582897176)	(66, 0.031527018340884144)	(68, 0.0348967443606159)	(70, 0.03894733057060126)	(72, 0.04411761264033964)	(74, 0.05010971423659509)	(76, 0.05684916627605859)	(78, 0.06501416933886561)	(80, 0.07456216966312526)	(82, 0.0866740341413087)	(84, 0.10111837669313439)	(86, 0.11702816442007627)	(88, 0.13568266978897803)	(90, 0.15765636858536614)	(92, 0.18524982356146474)	(94, 0.2178752608811565)	(96, 0.25500873735116025)	(98, 0.2967486585458486)	(100, 0.34478121728014655)	(102, 0.40267295072253095)	(104, 0.4719052617088272)	(106, 0.5497972632399115)	(108, 0.6361946979289297)	(110, 0.7316454454602264)	(112, 0.8416522391683123)	(114, 0.9712151460753623)	(116, 1.1134191798741133)	(118, 1.26392119724158)	(120, 1.427410090816111)	(122, 1.6113567054196682)	(124, 1.8178381965545496)	(126, 2.041559280475462)	(128, 2.2725437596291185)	(130, 2.512858151077344)	(132, 2.773739307569442)	(134, 3.057865456494417)	(136, 3.3621886846568367)	(138, 3.6744747855130826)
101112C4_R1_001 - polya	(1, 0.011494834930766093)	(2, 0.013803376513344753)	(3, 0.015771488000796606)	(4, 0.017595980541866837)	(5, 0.020175802356499673)	(6, 0.022404555635532987)	(7, 0.024654585795511726)	(8, 0.027808883395671048)	(9, 0.03202702504310164)	(10, 0.03768933498470299)	(12, 0.04234631230163298)	(14, 0.04710701441317192)	(16, 0.051620372783720295)	(18, 0.05556457458897853)	(20, 0.059016748522373805)	(22, 0.06269764892593241)	(24, 0.0663679108890183)	(26, 0.07012859959612225)	(28, 0.07383077688062627)	(30, 0.07706486278433095)	(32, 0.08043192919394451)	(34, 0.08407559505584862)	(36, 0.08782564532247986)	(38, 0.09120335017256614)	(40, 0.09465552410596142)	(42, 0.09787099273883884)	(44, 0.10119550538656157)	(46, 0.10438703752837539)	(48, 0.10758920811066192)	(50, 0.11129936422552048)	(52, 0.11552814431342377)	(54, 0.11946968650856384)	(56, 0.12307079860857709)	(58, 0.12656020708362686)	(60, 0.13006557321938572)	(62, 0.13370391986105346)	(64, 0.1378422732049387)	(66, 0.14157636581086086)	(68, 0.14579450745829148)	(70, 0.14997541456406754)	(72, 0.15368291106880794)	(74, 0.1574143440646119)	(76, 0.1613691843103429)	(78, 0.16569636997261877)	(80, 0.16985600019744945)	(82, 0.1739331825086166)	(84, 0.17778961717997496)	(86, 0.1819173320833875)	(88, 0.1855849344363552)	(90, 0.1895743496136225)	(92, 0.19436164782634321)	(94, 0.1988856446373643)	(96, 0.20279261190096803)	(98, 0.2067713886377626)	(100, 0.2106969731721936)	(102, 0.21471564406076082)	(104, 0.21868910157731902)	(106, 0.22273170895694985)	(108, 0.227003042806744)	(110, 0.23131161119819266)	(112, 0.23555634894680505)	(114, 0.2393489529753271)	(116, 0.24313091856337649)	(118, 0.2472107604846618)	(120, 0.2512959216261835)	(122, 0.2553358693956962)	(124, 0.2591151753736274)	(126, 0.26307267522947647)	(128, 0.26686793886811677)	(130, 0.270737671590066)	(132, 0.2753308182641597)	(134, 0.27953034264076304)	(136, 0.28350911937755763)	(138, 0.2875198114357703)
101112C4_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004627721605630033)	(4, 0.000606391106944625)	(5, 0.0007446908330898904)	(6, 0.0009095866604169375)	(7, 0.0011915053329438245)	(8, 0.001510658547125206)	(9, 0.0022234340587969584)	(10, 0.0029920613829504525)	(12, 0.004013351668330873)	(14, 0.004992088191820444)	(16, 0.005851142259991995)	(18, 0.006800623072181606)	(20, 0.007593186887398703)	(22, 0.008377771872261266)	(24, 0.009247464380905531)	(26, 0.010141093380613399)	(28, 0.011013445499375843)	(30, 0.01193898982050185)	(32, 0.012992195427300408)	(34, 0.014149125828707917)	(36, 0.015266162078342752)	(38, 0.01643905014045933)	(40, 0.017893856875102795)	(42, 0.01902419117532852)	(44, 0.020415167267135707)	(46, 0.02163858792149767)	(48, 0.022832752864559675)	(50, 0.02400298131655807)	(52, 0.025274274953047245)	(54, 0.02650833404788192)	(56, 0.027798244955198337)	(58, 0.029024325219678473)	(60, 0.030300938076404)	(62, 0.03169457377832937)	(64, 0.03297650585529126)	(66, 0.034356843506625726)	(68, 0.036428679788686524)	(70, 0.06968710431650467)	(72, 0.07829360265892926)	(74, 0.08057820775044432)	(76, 0.08231759276773284)	(78, 0.08387612429698527)	(80, 0.08545061348694674)	(82, 0.08707297565903543)	(84, 0.08883629716738756)	(86, 0.09049589388113075)	(88, 0.09253581484177341)	(90, 0.09417413467457117)	(92, 0.09586298709961431)	(94, 0.09760503172702102)	(96, 0.09949069530080935)	(98, 0.10157051041322468)	(100, 0.10352798346020382)	(102, 0.10560247935238282)	(104, 0.10775410393798895)	(106, 0.11000413409796769)	(108, 0.11243235813586437)	(110, 0.11509462786416072)	(112, 0.11775423798233892)	(114, 0.12032608096661722)	(116, 0.12337399416204942)	(118, 0.1262516923099182)	(120, 0.12942460718090476)	(122, 0.13315338056659057)	(124, 0.13696992108617628)	(126, 0.1406720983706803)	(128, 0.14500726286331073)	(130, 0.14974402848378607)	(132, 0.15466696681253386)	(134, 0.16002076198042656)	(136, 0.16617509979389083)	(138, 0.1726645484822456)
101112C4_R2_001 - illumina_universal_adapter	(1, 0.005601138908883247)	(2, 0.005627735010065029)	(3, 0.005723480974319443)	(4, 0.005867099920701065)	(5, 0.005909653682591915)	(6, 0.005989441986137261)	(7, 0.0060266765277917555)	(8, 0.00606391106944625)	(9, 0.006095826390864388)	(10, 0.006361787402682206)	(12, 0.006598492703200064)	(14, 0.006856474884663347)	(16, 0.006997434220926791)	(18, 0.007912340101580085)	(20, 0.008138406961625232)	(22, 0.008380431482379444)	(24, 0.008590540681715522)	(26, 0.008877778574478764)	(28, 0.009228847110078285)	(30, 0.009675661609932218)	(32, 0.010234179734749636)	(34, 0.010755463317912559)	(36, 0.011428344677811638)	(38, 0.01214377979960157)	(40, 0.012907087903518707)	(42, 0.013784759242517507)	(44, 0.014659770971398128)	(46, 0.015675742036542192)	(48, 0.01680075711653156)	(50, 0.018111944904793405)	(52, 0.019776860838772947)	(54, 0.021489649754879693)	(56, 0.023191800230513728)	(58, 0.02522108275068368)	(60, 0.027886012089098217)	(62, 0.030739773745903403)	(64, 0.033492470218217815)	(66, 0.03695794220220398)	(68, 0.04083831336462595)	(70, 0.04530113914292894)	(72, 0.051093769980321016)	(74, 0.05770556073411197)	(76, 0.0650274673894565)	(78, 0.07378290389849906)	(80, 0.08399314714218509)	(82, 0.09677789298026761)	(84, 0.11185256313010153)	(86, 0.12861076648474223)	(88, 0.14791155711236129)	(90, 0.17066452167337562)	(92, 0.19898670982185507)	(94, 0.2322797092812095)	(96, 0.2700568113998124)	(98, 0.3122169509931729)	(100, 0.360640472414843)	(102, 0.41924764097901734)	(104, 0.48895868178658564)	(106, 0.5671193039396061)	(108, 0.6536497191345332)	(110, 0.7489329112283846)	(112, 0.8584636347253165)	(114, 0.9878270708735032)	(116, 1.1296082266634637)	(118, 1.2798815175607674)	(120, 1.4427587008081173)	(122, 1.625455298656131)	(124, 1.8303303852796327)	(126, 2.052250913150538)	(128, 2.2809587660430344)	(130, 2.5187332298284)	(132, 2.777188821892719)	(134, 3.0579186486967807)	(136, 3.3579359680778698)	(138, 3.6662964843996844)
