Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
123H9_R2_001 - polya	(1, 0.06470931753740741)	(2, 0.07312772964516498)	(3, 0.07995389526812195)	(4, 0.08704806277465924)	(5, 0.09508811928206815)	(6, 0.10264472141125378)	(7, 0.11067952297976896)	(8, 0.12293404047995038)	(9, 0.13492581103544524)	(10, 0.15416151485594873)	(12, 0.1714029693662812)	(14, 0.1891961924604554)	(16, 0.20659529513759978)	(18, 0.2233795699641776)	(20, 0.24072086831349093)	(22, 0.2581331083378696)	(24, 0.27616543115170866)	(26, 0.29360131840110915)	(28, 0.309936295952273)	(30, 0.32596648704760034)	(32, 0.34199930561237457)	(34, 0.35777725964080287)	(36, 0.37313219108828577)	(38, 0.388694692622071)	(40, 0.4040522515390008)	(42, 0.4192784369835873)	(44, 0.43427340511684964)	(46, 0.44921056892228084)	(48, 0.4639900845609002)	(50, 0.47876960019951953)	(52, 0.4926242465928421)	(54, 0.5069465825477069)	(56, 0.5217628827585823)	(58, 0.5370941669810434)	(60, 0.5523203524256299)	(62, 0.5676542641175379)	(64, 0.5842914006550912)	(66, 0.6033090245115048)	(68, 0.621611976678371)	(70, 0.6383936240355019)	(72, 0.6532729835131021)	(74, 0.6679815574766561)	(76, 0.6823853449843736)	(78, 0.6963897571361677)	(80, 0.7101787167933186)	(82, 0.7241805014756657)	(84, 0.7383504442026121)	(86, 0.7535056879721334)	(88, 0.7683614002247117)	(90, 0.7832933090912493)	(92, 0.7986482405387321)	(94, 0.8138691710444248)	(96, 0.8292871617586326)	(98, 0.8439221665776743)	(100, 0.8575823802319289)	(102, 0.8715289880558917)	(104, 0.885938030502503)	(106, 0.899590361748417)	(108, 0.9142963082425241)	(110, 0.9286449188918574)	(112, 0.943124903013534)	(114, 0.957441984029505)	(116, 0.9709603143336288)	(118, 0.9842631921431096)	(120, 0.9987799608370425)	(122, 1.013315121817103)	(124, 1.0264156844791752)	(126, 1.039077459743621)	(128, 1.0518128041525787)	(130, 1.0647504637089453)	(132, 1.0778956933516142)	(134, 1.0910199032387082)	(136, 1.1036527763392383)	(138, 1.1161437660896376)
123H9_R2_001 - polyg	(1, 0.3922864433559364)	(2, 0.3946038714080719)	(3, 0.39583352710920505)	(4, 0.3970999673825943)	(5, 0.39857660521173277)	(6, 0.40031598998555784)	(7, 0.4023391414596444)	(8, 0.4044411170171369)	(9, 0.40707909634179007)	(10, 0.4110728499010259)	(12, 0.4185296081912306)	(14, 0.4229831689036679)	(16, 0.42493537870268905)	(18, 0.4264015066540401)	(20, 0.4275234361078517)	(22, 0.4288266609534971)	(24, 0.4300957286963332)	(26, 0.43120977574180425)	(28, 0.43215303727322907)	(30, 0.4332986139520625)	(32, 0.4345125048365144)	(34, 0.435634434290326)	(36, 0.43666702978294425)	(38, 0.43763656600883766)	(40, 0.43865602415422156)	(42, 0.4397201492802021)	(44, 0.4407238426089048)	(46, 0.4417853402654385)	(48, 0.4428100533497161)	(50, 0.44367186332828806)	(52, 0.44477014555707794)	(54, 0.4458526629691866)	(56, 0.44697984736189195)	(58, 0.4482016206546845)	(60, 0.44924998096398383)	(62, 0.450264184170474)	(64, 0.451338819174242)	(66, 0.45239243442243515)	(68, 0.4534933441206719)	(70, 0.4545206846743964)	(72, 0.455545397758674)	(74, 0.4567461512958916)	(76, 0.4599201343877053)	(78, 0.4623400337482686)	(80, 0.46460491241146673)	(82, 0.4691504345545443)	(84, 0.47597397270805447)	(86, 0.4838090865986079)	(88, 0.49087435194122964)	(90, 0.4971618863275791)	(92, 0.5037463247614244)	(94, 0.510483156423188)	(96, 0.5148368732966444)	(98, 0.5187386654252399)	(100, 0.5226325751454948)	(102, 0.5262795027377443)	(104, 0.5298160766132255)	(106, 0.5331266881162762)	(108, 0.5361850625524278)	(110, 0.5396165376500344)	(112, 0.5430821698504502)	(114, 0.5464952526619287)	(116, 0.5499398651067695)	(118, 0.5533897324905042)	(120, 0.5570208952660725)	(122, 0.5608675105362838)	(124, 0.5648560091566259)	(126, 0.5691151371299952)	(128, 0.5737079537231163)	(130, 0.5781273573327443)	(132, 0.5831326866290234)	(134, 0.5885426462201198)	(136, 0.5943572361060335)	(138, 0.6004923772644648)
123L14_R1_001 - illumina_universal_adapter	(1, 0.001932147209629644)	(2, 0.0019654600925542933)	(3, 0.0020431901527118075)	(4, 0.0022319631559514852)	(5, 0.002320797510417216)	(6, 0.002470705483578137)	(7, 0.0025706441323520837)	(8, 0.0026816870754342473)	(9, 0.0027760735770540864)	(10, 0.0030259201989889543)	(12, 0.003336840439619012)	(14, 0.0036366563859408533)	(16, 0.0040308588338825325)	(18, 0.004472254532634133)	(20, 0.004847024465536434)	(22, 0.005263435502094547)	(24, 0.00567984653865266)	(26, 0.006087929354479611)	(28, 0.0065126686117688865)	(30, 0.007009585782061568)	(32, 0.007548144056010061)	(34, 0.008175536684424285)	(36, 0.008861226857956643)	(38, 0.009669064268879382)	(40, 0.010535199224920258)	(42, 0.011565122522007323)	(44, 0.012533972200399198)	(46, 0.013835950708037566)	(48, 0.015484938412807694)	(50, 0.01733935556227982)	(52, 0.019513021173113175)	(54, 0.021700567151831794)	(56, 0.024068557913058928)	(58, 0.02718886461366772)	(60, 0.030706149835795248)	(62, 0.034600981064402125)	(64, 0.03881228468079318)	(66, 0.043745367427218296)	(68, 0.050321885731259425)	(70, 0.0583947076933327)	(72, 0.06807487625652031)	(74, 0.07897374112003465)	(76, 0.09183806607610329)	(78, 0.10644854131213893)	(80, 0.12421818827886213)	(82, 0.14571332598599193)	(84, 0.17182785012533974)	(86, 0.20162067175428416)	(88, 0.23470591664561477)	(90, 0.27426774119221253)	(92, 0.32283792449635085)	(94, 0.37845100646547536)	(96, 0.44244227849014905)	(98, 0.5126047620766141)	(100, 0.5935356350684718)	(102, 0.6890686550756341)	(104, 0.7989317668875495)	(106, 0.9208569183917651)	(108, 1.0546747691000802)	(110, 1.2040080950305507)	(112, 1.372796144589016)	(114, 1.564581187659798)	(116, 1.7757071353419152)	(118, 1.9957470552799532)	(120, 2.2325239228140505)	(122, 2.499612737736001)	(124, 2.795997457116603)	(126, 3.1160537558887462)	(128, 3.4431918183559533)	(130, 3.780104435887969)	(132, 4.144036577545451)	(134, 4.542178273892971)	(136, 4.963422454548735)	(138, 5.383400745653363)
123L14_R1_001 - polya	(1, 0.01826101198986178)	(2, 0.021670030342484197)	(3, 0.023907545645589792)	(4, 0.026539263396637064)	(5, 0.02940417132815688)	(6, 0.03226352711252259)	(7, 0.03588352705700112)	(8, 0.04151895641842091)	(9, 0.04879226919030262)	(10, 0.05953845000707898)	(12, 0.0670588333273185)	(14, 0.07466527492844671)	(16, 0.08154716132596379)	(18, 0.08835964588405451)	(20, 0.0944003819877242)	(22, 0.1002773297503477)	(24, 0.10625976830889926)	(26, 0.11269193078693357)	(28, 0.11895752885034465)	(30, 0.12489832630524039)	(32, 0.13090574952598544)	(34, 0.13653007459309702)	(36, 0.14266242112480948)	(38, 0.14909180752926676)	(40, 0.15522415406097922)	(42, 0.16125100979676366)	(44, 0.16623406186757572)	(46, 0.1714003347944734)	(48, 0.17686919974126994)	(50, 0.18240746652749285)	(52, 0.18836214435027387)	(54, 0.19422243567143505)	(56, 0.20027982821656704)	(58, 0.2062095213771546)	(60, 0.2119393372401942)	(62, 0.21837705186538264)	(64, 0.22505906096535183)	(66, 0.2309748737580541)	(68, 0.23661863134020505)	(70, 0.24244005763128745)	(72, 0.2483558704239897)	(74, 0.2545576187951285)	(76, 0.2607676953869985)	(78, 0.2668306400792847)	(80, 0.272904689065879)	(82, 0.2791314220992113)	(84, 0.284966728758179)	(86, 0.29227335441298535)	(88, 0.29906640645603666)	(90, 0.3053181241515625)	(92, 0.31197792466291524)	(94, 0.3188376024718159)	(96, 0.3251281851974205)	(98, 0.33114671271247376)	(100, 0.33685987213405105)	(102, 0.3427201634552122)	(104, 0.34875257133815074)	(106, 0.35422976450567845)	(108, 0.3600928319004167)	(110, 0.3662640434622079)	(112, 0.37216597588702494)	(114, 0.37805958009111074)	(116, 0.38373387448260926)	(118, 0.3895441964793835)	(120, 0.3962511902415462)	(122, 0.4025195643785343)	(124, 0.4084159446561971)	(126, 0.41425680346231897)	(128, 0.4198061745428501)	(130, 0.4259468492952937)	(132, 0.4324178768034068)	(134, 0.43864460983673914)	(136, 0.4448657907229173)	(138, 0.45093428756235754)
123L14_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001060460106434661)	(4, 0.0016323312633078027)	(5, 0.0019376993567837523)	(6, 0.002281932480338459)	(7, 0.0026539263396637065)	(8, 0.0030592330819136032)	(9, 0.003836533683488747)	(10, 0.004688788271644352)	(12, 0.005729815863039634)	(14, 0.0069596164576745945)	(16, 0.008114463065729095)	(18, 0.009074984523389808)	(20, 0.010252039720060741)	(22, 0.011603987552086081)	(24, 0.013000352561344287)	(26, 0.014357852540523734)	(28, 0.015743113255473725)	(30, 0.017108941455384333)	(32, 0.018544171494721297)	(34, 0.020198711346645533)	(36, 0.021911548743687902)	(38, 0.023368987371641295)	(40, 0.024943021089830965)	(42, 0.026578128426715822)	(44, 0.028421441281879734)	(46, 0.030528481126863787)	(48, 0.03211361913936167)	(50, 0.03366822034251196)	(52, 0.03534496878305263)	(54, 0.03706058225367205)	(56, 0.03876509142998326)	(58, 0.040544554592874926)	(60, 0.042387867448038845)	(62, 0.044270045333281514)	(64, 0.04721268332495884)	(66, 0.05141288264704168)	(68, 0.058675091124615164)	(70, 0.10151268249213677)	(72, 0.11563734485218796)	(74, 0.119232360134473)	(76, 0.12183909322332678)	(78, 0.12423762079390152)	(80, 0.12669722198317146)	(82, 0.12924288145333004)	(84, 0.1316830501275606)	(86, 0.1342564703334897)	(88, 0.13681323409795654)	(90, 0.13942551933396444)	(92, 0.14186013586104085)	(94, 0.14424478306373031)	(96, 0.1469431265806269)	(98, 0.14980525843856968)	(100, 0.15267016637008948)	(102, 0.15569886264265548)	(104, 0.1586914699587198)	(106, 0.161575810405279)	(108, 0.1647266539152354)	(110, 0.16818841766582182)	(112, 0.17194166914199893)	(114, 0.17578375497264181)	(116, 0.1797202273049045)	(118, 0.1844839695631293)	(120, 0.18921717501200652)	(122, 0.19436679149744185)	(124, 0.19971073313327098)	(126, 0.2053489385682678)	(128, 0.21139522681909162)	(130, 0.218241024260107)	(132, 0.22555320206206747)	(134, 0.23340949028513053)	(136, 0.2422318521130084)	(138, 0.2524283703615281)
123L14_R2_001 - illumina_universal_adapter	(1, 0.0019543557982460765)	(2, 0.0019821165340166177)	(3, 0.0020709508884823482)	(4, 0.002259723891722026)	(5, 0.002354110393341865)	(6, 0.002481809777886353)	(7, 0.002576196279506192)	(8, 0.0026872392225883554)	(9, 0.0027816257242081945)	(10, 0.0030231441254119)	(12, 0.0033396165131960656)	(14, 0.0036616410481343396)	(16, 0.0040502913489219115)	(18, 0.0045027913419817284)	(20, 0.004880337348461083)	(22, 0.005341165562252062)	(24, 0.005779785187426608)	(26, 0.0062156287390241)	(28, 0.006706993762162673)	(30, 0.0072816409926128685)	(32, 0.007925690062489416)	(34, 0.008591947720982398)	(36, 0.009358144028249325)	(38, 0.010329769780218255)	(40, 0.011254202281377267)	(42, 0.012353527417890683)	(44, 0.013438972186518832)	(46, 0.014985245168937959)	(48, 0.016792469067600166)	(50, 0.01879124204307911)	(52, 0.021109263479919274)	(54, 0.023505014976916948)	(56, 0.02604789837349849)	(58, 0.029401395254579826)	(60, 0.03319073568725865)	(62, 0.03733263746422335)	(64, 0.04177713126108694)	(66, 0.04706832749895203)	(68, 0.0539085727928133)	(70, 0.06217016775812627)	(72, 0.07203633325097648)	(74, 0.08314617970634694)	(76, 0.09636028993312439)	(78, 0.11119562712890142)	(80, 0.12943443053014678)	(82, 0.15135153142098878)	(84, 0.17772423040300261)	(86, 0.2079001501855805)	(88, 0.24137126930412164)	(90, 0.281216253355579)	(92, 0.32970870659955975)	(94, 0.38530790820079897)	(96, 0.44918258513523646)	(98, 0.5193145319123538)	(100, 0.6000732883424342)	(102, 0.6953481335069305)	(104, 0.8048864447103306)	(106, 0.9265256606361094)	(108, 1.0600936647224897)	(110, 1.2085025581518012)	(112, 1.3761607457644058)	(114, 1.5673961262669307)	(116, 1.7772839451336817)	(118, 1.9958525460758811)	(120, 2.230913800139359)	(122, 2.4960593635573716)	(124, 2.7896097118158023)	(126, 3.1067677897735004)	(128, 3.4302997326641145)	(130, 3.763683960679694)	(132, 4.123596347797601)	(134, 4.517959808006752)	(136, 4.93419595192951)	(138, 5.348327832080861)
123L14_R2_001 - polya	(1, 0.06612052045827423)	(2, 0.0726942626887383)	(3, 0.07764677795020279)	(4, 0.08333217663600956)	(5, 0.08952282071284018)	(6, 0.09597441570591388)	(7, 0.10234828063883006)	(8, 0.11129834185125242)	(9, 0.12117561163841087)	(10, 0.13663834146260212)	(12, 0.14992185352880594)	(14, 0.16391604043073557)	(16, 0.1767581567981878)	(18, 0.1893393222493969)	(20, 0.20167896929940232)	(22, 0.21364939856365953)	(24, 0.22707726645587015)	(26, 0.2393780484757968)	(28, 0.251093078970965)	(30, 0.26326893767992426)	(32, 0.2752699037535291)	(34, 0.28733194344582913)	(36, 0.29915246473692536)	(38, 0.3114421424625438)	(40, 0.32324878338575486)	(42, 0.33513037829554637)	(44, 0.34593485665744084)	(46, 0.35697530127338495)	(48, 0.3685154391331988)	(50, 0.3791478009333159)	(52, 0.3904214357297326)	(54, 0.4017450398505362)	(56, 0.4129909139111823)	(58, 0.4246365425669242)	(60, 0.4355354074304385)	(62, 0.4472726465142232)	(64, 0.4586628764008761)	(66, 0.4692952382009933)	(68, 0.48001088220842203)	(70, 0.49134003847637975)	(72, 0.5015726456814011)	(74, 0.5123493633075251)	(76, 0.5235369398230532)	(78, 0.5343719549942951)	(80, 0.545398519242354)	(82, 0.5565611110956885)	(84, 0.5668325833307886)	(86, 0.5781256506422445)	(88, 0.5887246995594371)	(90, 0.5992210337542786)	(92, 0.6102559262230687)	(94, 0.6217127818755708)	(96, 0.6327476743443607)	(98, 0.643535496264793)	(100, 0.6540706954897133)	(102, 0.6645142842865908)	(104, 0.674894023391196)	(106, 0.6851266305962174)	(108, 0.6952592991524646)	(110, 0.7053642069729416)	(112, 0.7158355565055896)	(114, 0.7254213385671573)	(116, 0.7355456789026736)	(118, 0.7457449732247703)	(120, 0.7565772123224355)	(122, 0.7668486845575355)	(124, 0.7774671659897674)	(126, 0.7872611535696142)	(128, 0.7972217055640842)	(130, 0.807160048969938)	(132, 0.81794787089037)	(134, 0.8279389596941877)	(136, 0.8377940208927297)	(138, 0.8478350790209344)
123L14_R2_001 - polyg	(1, 0.40834931889034787)	(2, 0.41173612865435383)	(3, 0.4138737053086855)	(4, 0.41630554576218487)	(5, 0.4186985211856055)	(6, 0.42122474814072475)	(7, 0.42462266219903894)	(8, 0.4273432143045519)	(9, 0.4303413737677703)	(10, 0.43491079087560136)	(12, 0.44195368954058756)	(14, 0.4455126158663709)	(16, 0.44774457902232245)	(18, 0.4494518642722106)	(20, 0.451061986946902)	(22, 0.45273040716671153)	(24, 0.45431276910563234)	(26, 0.4560422629441371)	(28, 0.4575857598529791)	(30, 0.45885442547769284)	(32, 0.46027577514914453)	(34, 0.4617248855563668)	(36, 0.4632211892143989)	(38, 0.4645314959427685)	(40, 0.4657585204638264)	(42, 0.4670382903828483)	(44, 0.468356925331949)	(46, 0.46955341304365933)	(48, 0.4707637811232549)	(50, 0.4718880909219618)	(52, 0.47325114304829535)	(54, 0.4746586123518618)	(56, 0.4761243792005463)	(58, 0.4773625080159124)	(60, 0.4787560969515936)	(62, 0.4801663423287371)	(64, 0.4814405601006049)	(66, 0.482728658240358)	(68, 0.484113918955308)	(70, 0.48527709378409367)	(72, 0.486629041616119)	(74, 0.4880920323912265)	(76, 0.49082091271747064)	(78, 0.4931555905957732)	(80, 0.4949183973172025)	(82, 0.49690328992479615)	(84, 0.49930181749537095)	(86, 0.5017308818752932)	(88, 0.5042154677267566)	(90, 0.5066084431501772)	(92, 0.5091652069146441)	(94, 0.5115637344852189)	(96, 0.5137734890525538)	(98, 0.5160082282820824)	(100, 0.5186704828424773)	(102, 0.5211411883260554)	(104, 0.5234952987193973)	(106, 0.5259132588050113)	(108, 0.5283895164357436)	(110, 0.5309823691567122)	(112, 0.5337862034695368)	(114, 0.5368065715213717)	(116, 0.5395271236268846)	(118, 0.5424197922941749)	(120, 0.5454595928610492)	(122, 0.5490157431132554)	(124, 0.5529161264890164)	(126, 0.5569358810285907)	(128, 0.561460880959189)	(130, 0.5659331354918231)	(132, 0.5708745464589793)	(134, 0.5762851138606577)	(136, 0.5819233192956546)	(138, 0.5882944081549937)
123L4_R1_001 - illumina_universal_adapter	(1, 0.00575534984722307)	(2, 0.005765968573878464)	(3, 0.005904012020398574)	(4, 0.006121695916834133)	(5, 0.006201336366749581)	(6, 0.006318142359958905)	(7, 0.00643494835316823)	(8, 0.006620776069637609)	(9, 0.006726963336191541)	(10, 0.0074065618421367)	(12, 0.008006519898166411)	(14, 0.008537456230936068)	(16, 0.00896751466047949)	(18, 0.009384299681703668)	(20, 0.009758609796306276)	(22, 0.010239107177462814)	(24, 0.01074084201193014)	(26, 0.011184173849792802)	(28, 0.011818642767452541)	(30, 0.012426564868473797)	(32, 0.013159257007695921)	(34, 0.013886639783590352)	(36, 0.014667116192761745)	(38, 0.015421045785294657)	(40, 0.016315673506011527)	(42, 0.017260740178341515)	(44, 0.018343850297191613)	(46, 0.019756140942358898)	(48, 0.02139142484728944)	(50, 0.02317802560705933)	(52, 0.025333627118104135)	(54, 0.027274199414377226)	(56, 0.029358124520498123)	(58, 0.03242693652390674)	(60, 0.03579307287366636)	(62, 0.039578648926314)	(64, 0.04336422497896165)	(66, 0.04786656508084833)	(68, 0.053154690955234105)	(70, 0.059788740433190955)	(72, 0.06801559890945677)	(74, 0.07719017873971643)	(76, 0.08742928591717924)	(78, 0.0986161144486359)	(80, 0.11267265385871253)	(82, 0.12930157980105816)	(84, 0.15027887430878728)	(86, 0.1738020085321469)	(88, 0.19929757123174574)	(90, 0.22988215868094178)	(92, 0.2663495206972256)	(94, 0.31036414268383006)	(96, 0.35977838717470195)	(98, 0.4139020369372407)	(100, 0.47729583506993756)	(102, 0.551618957612698)	(104, 0.6386580053252914)	(106, 0.7346220927917428)	(108, 0.8391369098974497)	(110, 0.9559667952417485)	(112, 1.0904184574706723)	(114, 1.2426219759857497)	(116, 1.4112048803667707)	(118, 1.5891588110211763)	(120, 1.7797437170321722)	(122, 1.9990947535526278)	(124, 2.2422476658711474)	(126, 2.505979670447818)	(128, 2.7776783746976985)	(130, 3.0603010939943136)	(132, 3.3678008351628517)	(134, 3.709851258186375)	(136, 4.076107068620867)	(138, 4.444221156220053)
123L4_R1_001 - polya	(1, 0.0464463103906895)	(2, 0.04954697857406429)	(3, 0.05284409320056385)	(4, 0.05566867449089842)	(5, 0.05896047975407029)	(6, 0.06216202584067131)	(7, 0.0651140318508706)	(8, 0.06921816970318004)	(9, 0.07472397947400138)	(10, 0.08166066266163693)	(12, 0.08792571138831887)	(14, 0.09387485299700286)	(16, 0.09920810845967407)	(18, 0.10432368002590969)	(20, 0.10893486207601416)	(22, 0.1136548860743364)	(24, 0.11877842168556357)	(26, 0.12348782695723043)	(28, 0.12842288017032438)	(30, 0.1326650614691539)	(32, 0.13694706299294118)	(34, 0.14132728773829087)	(36, 0.14604731173661312)	(38, 0.15036647880369425)	(40, 0.15452371028928066)	(42, 0.1588588054463449)	(44, 0.1635098077214071)	(46, 0.167903305875076)	(48, 0.17241095534029036)	(50, 0.1774495411382744)	(52, 0.1826341344277701)	(54, 0.18770723108738416)	(56, 0.19273519815871282)	(58, 0.19793837421985544)	(60, 0.20266370758150537)	(62, 0.20791201323093342)	(64, 0.2131789016520084)	(66, 0.21849888370636034)	(68, 0.22354808823099978)	(70, 0.22908840886345114)	(72, 0.23463138417756635)	(74, 0.24000180518353142)	(76, 0.24534302469119418)	(78, 0.2504108119874805)	(80, 0.2552874622039698)	(82, 0.2604561274034824)	(84, 0.26591149822269067)	(86, 0.2715367686683851)	(88, 0.2768673694493925)	(90, 0.2818634803407549)	(92, 0.2873613260665847)	(94, 0.29288040924572534)	(96, 0.2983596721999081)	(98, 0.30361063253100007)	(100, 0.3087686790038573)	(102, 0.3139240707950506)	(104, 0.3190529157696055)	(106, 0.3249250716100379)	(108, 0.3305423780107408)	(110, 0.3364224978961648)	(112, 0.3422335960583287)	(114, 0.34784028373237624)	(116, 0.3532319421916521)	(118, 0.3585943991526256)	(120, 0.36390907184364985)	(122, 0.36940691756947963)	(124, 0.37507200824013187)	(126, 0.38105300602878206)	(128, 0.3866145641145442)	(130, 0.39223717987857487)	(132, 0.39798722036247025)	(134, 0.4038991964278603)	(136, 0.40990674103314906)	(138, 0.4154337882572811)
123L4_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005574831494081387)	(4, 0.0008866636757253254)	(5, 0.0011839880220763327)	(6, 0.0016565213582413266)	(7, 0.0022458606876156447)	(8, 0.00297855282683777)	(9, 0.0042581093888126404)	(10, 0.00535449291598198)	(12, 0.006602193297990671)	(14, 0.007889713904957086)	(16, 0.009325896685099005)	(18, 0.010701021786972416)	(20, 0.011977923667283438)	(22, 0.013265444274249853)	(24, 0.014587475742846297)	(26, 0.016082061519592877)	(28, 0.017536827071381735)	(30, 0.01919600311128691)	(32, 0.020900308739477506)	(34, 0.022620542457651188)	(36, 0.0245345679372858)	(38, 0.026544161956818947)	(40, 0.02842633125648738)	(42, 0.030531493815919065)	(44, 0.03453475376500227)	(46, 0.12495852059900237)	(48, 0.1280724621906964)	(50, 0.1299041925387517)	(52, 0.1317306135234793)	(54, 0.13408000679598506)	(56, 0.13629135662197067)	(58, 0.13890356337919738)	(60, 0.14185556938939667)	(62, 0.14486332371453675)	(64, 0.1591561297926959)	(66, 0.21701226197460532)	(68, 0.2479419580401016)	(70, 0.660065358262564)	(72, 0.8148492273549017)	(74, 0.8400660484797966)	(76, 0.8492140814934177)	(78, 0.855402144451848)	(80, 0.8600850029068765)	(82, 0.8639926943160612)	(84, 0.8675393490189625)	(86, 0.8705736501607411)	(88, 0.8735681310775618)	(90, 0.8762732516930232)	(92, 0.8790633221217278)	(94, 0.8819064861837093)	(96, 0.8847443408823631)	(98, 0.8877069656192178)	(100, 0.8903669566463938)	(102, 0.8932924158399546)	(104, 0.8962364578051623)	(106, 0.8994937522067041)	(108, 0.902942183688043)	(110, 0.906425126031012)	(112, 0.9099452339172749)	(114, 0.9135768384334193)	(116, 0.9177579620539803)	(118, 0.9223027770624885)	(120, 0.9273360534971449)	(122, 0.9328365539046386)	(124, 0.9384458962603499)	(126, 0.9445437000422094)	(128, 0.9513237570116779)	(130, 0.9594311548130706)	(132, 0.9682738994353493)	(134, 0.9779634875083955)	(136, 0.9889034306451142)	(138, 1.0014414921434698)
123L4_R2_001 - illumina_universal_adapter	(1, 0.0057394217572399805)	(2, 0.0057606592105507665)	(3, 0.005877465203760091)	(4, 0.006036746103590988)	(5, 0.0061163865535064366)	(6, 0.006233192546715761)	(7, 0.006349998539925085)	(8, 0.006546444983049858)	(9, 0.006642013522948396)	(10, 0.00734550416386819)	(12, 0.00797731839986408)	(14, 0.008524182822616827)	(16, 0.008927694435521764)	(18, 0.009328551366762854)	(20, 0.00970551616302931)	(22, 0.010207250997496635)	(24, 0.010788626281879408)	(26, 0.011247886209725161)	(28, 0.011911556625687231)	(30, 0.012564608314993907)	(32, 0.013400833039106115)	(34, 0.014252985853201413)	(36, 0.015152922937245981)	(38, 0.01603693193130746)	(40, 0.01706960309854444)	(42, 0.01819784280567996)	(44, 0.01953314768259564)	(46, 0.021136575407560004)	(48, 0.0229125574406745)	(50, 0.02486109378193914)	(52, 0.027244997916074893)	(54, 0.02942980092542203)	(56, 0.031858834647843205)	(58, 0.03513736650269583)	(60, 0.03883268337877263)	(62, 0.04294743995773747)	(64, 0.047221477436533196)	(66, 0.05223882578120645)	(68, 0.05806850671501727)	(70, 0.06509279439755983)	(72, 0.07356388358689968)	(74, 0.08312073757675348)	(76, 0.0937129174155081)	(78, 0.10528732946988661)	(80, 0.11981640221612824)	(82, 0.13686211317969807)	(84, 0.15822168184702132)	(86, 0.18191737037853106)	(88, 0.207569559296297)	(90, 0.23856827708505335)	(92, 0.2755320645724768)	(94, 0.319761715773853)	(96, 0.36931665839290884)	(98, 0.4233394302522213)	(100, 0.4864491774468865)	(102, 0.5604776303249596)	(104, 0.6469618495698088)	(106, 0.7424135834751375)	(108, 0.8461585428983283)	(110, 0.9622212252417752)	(112, 1.095483590085295)	(114, 1.246715495111404)	(116, 1.4141329942419953)	(118, 1.5900507840602294)	(120, 1.777978353725713)	(122, 1.9941066067062567)	(124, 2.2338588718133865)	(126, 2.4936035445309574)	(128, 2.760783980588968)	(130, 3.0385884526656985)	(132, 3.3412566732060327)	(134, 3.6776871351471887)	(136, 4.036642571006098)	(138, 4.39726249226824)
123L4_R2_001 - polya	(1, 0.2190855683540708)	(2, 0.23154133472084695)	(3, 0.24351925838813038)	(4, 0.25497155508597186)	(5, 0.2670185004765154)	(6, 0.2792778204001667)	(7, 0.2919353425733953)	(8, 0.3054105066990892)	(9, 0.3187051524716414)	(10, 0.3393957413596749)	(12, 0.3621888381254762)	(14, 0.3855739289023157)	(16, 0.4085847095645526)	(18, 0.4315875261817979)	(20, 0.4546168896156817)	(22, 0.47849575118199705)	(24, 0.5047080779308349)	(26, 0.5262667477229468)	(28, 0.5467396527145447)	(30, 0.5665780887884829)	(32, 0.5870085188734593)	(34, 0.6072398478336469)	(36, 0.6278640696800843)	(38, 0.6494599050154901)	(40, 0.669914227235441)	(42, 0.6904481899053074)	(44, 0.7118555428425801)	(46, 0.7332708598248441)	(48, 0.7537570382247614)	(50, 0.7724751986365554)	(52, 0.7929029740398681)	(54, 0.8130466985051488)	(56, 0.8336257907633007)	(58, 0.8547729848975161)	(60, 0.8764564247278288)	(62, 0.9010600143883746)	(64, 0.9338718797535394)	(66, 0.975837087495653)	(68, 1.0169846532853013)	(70, 1.0484612137735503)	(72, 1.0696986670843365)	(74, 1.0896831106497864)	(76, 1.1091233444741473)	(78, 1.1281892681839056)	(80, 1.1479985027595416)	(82, 1.1674918302171795)	(84, 1.1875771516858555)	(86, 1.2072589615416267)	(88, 1.22550724329892)	(90, 1.2453085138295643)	(92, 1.2647673304255722)	(94, 1.2839606788551952)	(96, 1.3039849426456027)	(98, 1.3234039390166528)	(100, 1.3423158911899078)	(102, 1.3604155107740254)	(104, 1.3793062254939699)	(106, 1.3986455814151046)	(108, 1.4188185073786876)	(110, 1.4383304176079725)	(112, 1.4576060611691748)	(114, 1.4761649406811381)	(116, 1.4950795475360572)	(118, 1.5136463910930122)	(120, 1.5319026368952966)	(122, 1.550880956110148)	(124, 1.5694716918020775)	(126, 1.5879642042724447)	(128, 1.6064248605628455)	(130, 1.6249412651681874)	(132, 1.6435612023584192)	(134, 1.6624333343067166)	(136, 1.6811727321718215)	(138, 1.6998616910853135)
