Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
101112H9_R1_001	(1, 8.262303770930932e-05)	(2, 0.21106054982843067)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 4.131151885465466e-05)	(7, 0.001642132874472523)	(8, 0.0)	(9, 0.0)	(10, 0.0023588877266007813)	(15, 2.0655759427327334e-06)	(20, 0.00025200026501339345)	(25, 3.0983639140991e-05)	(30, 0.0002984757237248799)	(35, 0.0031148885216409614)	(40, 0.0)	(45, 0.0)	(50, 0.00010224600916527029)	(55, 1.0327879713663667e-06)	(60, 0.021045120492532453)	(65, 5.1639398568318325e-06)	(70, 0.002735855336149505)	(75, 0.0)	(80, 0.000433770947973874)	(85, 0.00035837742606412924)	(90, 1.7557395513228232e-05)	(95, 1.85901834845946e-05)	(100, 0.00027988554024028535)	(105, 7.43607339383784e-05)	(110, 0.000402787308832883)	(115, 2.2721335370060066e-05)	(120, 0.0)	(125, 6.403285422471473e-05)	(130, 1.6524607541861867e-05)	(135, 0.00025200026501339345)	(140, 3.0983639140991e-05)	(145, 0.00012186898062123126)	(150, 0.0)
101112H9_R2_001	(1, 0.006238039347052855)	(2, 0.004125987945608634)	(3, 0.0)	(4, 0.007756237664961412)	(5, 0.005138120157547674)	(6, 0.008035090417230334)	(7, 0.0026904126654093852)	(8, 0.0021533629202988747)	(9, 0.008881976553750752)	(10, 0.001822870769461637)	(15, 0.000723984367927823)	(20, 0.0009295091742297301)	(25, 0.00014562310396265768)	(30, 0.00045132834348710223)	(35, 2.9950851169624633e-05)	(40, 0.00021791826195830335)	(45, 0.0005515087767096398)	(50, 3.3049215083723735e-05)	(55, 0.00026852487255525534)	(60, 0.0006702793934167719)	(65, 0.00017454116716091595)	(70, 0.000228246141671967)	(75, 0.000154918195704955)	(80, 7.2295157995645655e-06)	(85, 0.000433770947973874)	(90, 0.00024580353718519526)	(95, 0.0013415915748049103)	(100, 0.0)	(105, 9.2950917422973e-06)	(110, 8.262303770930932e-05)	(115, 4.131151885465466e-05)	(120, 9.2950917422973e-05)	(125, 3.0983639140991e-06)	(130, 0.0002581969928415917)	(135, 0.00037800039752009017)	(140, 7.74590978524775e-05)	(145, 4.3377094797387396e-05)	(150, 0.0)
101112L14_R1_001	(1, 9.929358363817334e-05)	(2, 0.2227625419031988)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 2.6129890431098247e-05)	(7, 0.001881352111039074)	(8, 0.0)	(9, 0.0)	(10, 0.002512650263854408)	(15, 0.0)	(20, 0.00024875655690405536)	(25, 3.135586851731789e-05)	(30, 0.00026861527363169)	(35, 0.0032955017811701114)	(40, 0.0)	(45, 0.0)	(50, 9.720319240368548e-05)	(55, 2.0903912344878597e-06)	(60, 0.023222156223925636)	(65, 4.1807824689757195e-06)	(70, 0.0029087794027898572)	(75, 0.0)	(80, 0.00048288037516669565)	(85, 0.0003501405317767165)	(90, 1.776832549314681e-05)	(95, 1.149715178968323e-05)	(100, 0.0002936999684455443)	(105, 8.988682308297798e-05)	(110, 0.00044316294171142627)	(115, 1.985871672763467e-05)	(120, 0.0)	(125, 4.91241940104647e-05)	(130, 2.6129890431098247e-05)	(135, 0.0003031067290007397)	(140, 3.135586851731789e-05)	(145, 0.00012333308283478373)	(150, 0.0)
101112L14_R2_001	(1, 0.004191234425148159)	(2, 0.002315108292195305)	(3, 0.0)	(4, 0.008225689507709728)	(5, 0.005685864157806979)	(6, 0.009202947409832803)	(7, 0.0029474516406278826)	(8, 0.0023778200292299406)	(9, 0.00969418934993745)	(10, 0.0020224535193670043)	(15, 0.0008340661025606561)	(20, 0.0010159301399611)	(25, 0.00018290923301768773)	(30, 0.0005455921122013315)	(35, 3.135586851731789e-05)	(40, 0.00025607292622476283)	(45, 0.0006250269791118701)	(50, 3.762704222078148e-05)	(55, 0.00033550779313530155)	(60, 0.0007588120181190931)	(65, 0.00020903912344878597)	(70, 0.00025084694813854314)	(75, 0.00017872845054871201)	(80, 1.358754302417109e-05)	(85, 0.0004943775269563789)	(90, 0.00027279605610066573)	(95, 0.0002163554927694935)	(100, 0.0)	(105, 7.31636932070751e-06)	(110, 7.420888882431903e-05)	(115, 4.285302030700113e-05)	(120, 9.511280116919763e-05)	(125, 0.0)	(130, 0.0002863835991248368)	(135, 0.00043584657239071874)	(140, 7.629928005880688e-05)	(145, 5.644056333117222e-05)	(150, 5.22597808621965e-06)
101112L4_R1_001	(1, 8.043259868878777e-05)	(2, 0.21939868053002937)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 4.825955921327266e-05)	(7, 0.001651549359743109)	(8, 0.0)	(9, 0.0)	(10, 0.002657493060677548)	(15, 1.072434649183837e-06)	(20, 0.00023915292676799564)	(25, 3.968008201980197e-05)	(30, 0.00026489135834840776)	(35, 0.0034307184427390942)	(40, 0.0)	(45, 0.0)	(50, 8.793964123307464e-05)	(55, 1.072434649183837e-06)	(60, 0.022698079349975912)	(65, 3.2173039475515113e-06)	(70, 0.0030510765769280164)	(75, 0.0)	(80, 0.00044184307546374087)	(85, 0.00037320725791597527)	(90, 1.823138903612523e-05)	(95, 1.6086519737757557e-05)	(100, 0.0002520221425582017)	(105, 8.579477193470696e-05)	(110, 0.0004032354280931227)	(115, 2.144869298367674e-05)	(120, 1.072434649183837e-06)	(125, 5.7911471055927204e-05)	(130, 1.3941650439389882e-05)	(135, 0.0002670362276467754)	(140, 3.539034342306662e-05)	(145, 0.00012118511535777359)	(150, 0.0)
101112L4_R2_001	(1, 0.003935835162504682)	(2, 0.002209215377318704)	(3, 0.0)	(4, 0.008734980217602353)	(5, 0.005893028397265184)	(6, 0.008611650232946211)	(7, 0.0029920926712229054)	(8, 0.0022145775505646235)	(9, 0.009222937982980997)	(10, 0.00195933810405887)	(15, 0.0008032535522386939)	(20, 0.0009662636189146372)	(25, 0.00016622737062349472)	(30, 0.0004901026346770135)	(35, 4.0752516668985806e-05)	(40, 0.00022735614562697343)	(45, 0.0005994909688937649)	(50, 2.573843158041209e-05)	(55, 0.00030457144036820973)	(60, 0.0007002998259170455)	(65, 0.000190893367554723)	(70, 0.00023271831887289264)	(75, 0.00016086519737757555)	(80, 1.715895438694139e-05)	(85, 0.00048045072283435893)	(90, 0.00024129779606636335)	(95, 0.0002144869298367674)	(100, 0.0)	(105, 3.2173039475515113e-06)	(110, 7.078068684613324e-05)	(115, 4.289738596735348e-05)	(120, 9.973642237409685e-05)	(125, 0.0)	(130, 0.0002670362276467754)	(135, 0.0003978732548472035)	(140, 6.97082521969494e-05)	(145, 5.147686316082418e-05)	(150, 5.362173245919185e-06)
101112L9_R1_001	(1, 4.1406699448695675e-05)	(2, 0.21012347218983732)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 5.1758374310869594e-05)	(7, 0.0015579270667571748)	(8, 0.0)	(9, 0.0)	(10, 0.002342584021309958)	(15, 2.070334972434784e-06)	(20, 0.00021427966964700012)	(25, 3.312535955895654e-05)	(30, 0.0002432643592610871)	(35, 0.0030019857100304363)	(40, 0.0)	(45, 0.0)	(50, 8.695406884226092e-05)	(55, 0.0)	(60, 0.021451775816883012)	(65, 3.1055024586521755e-06)	(70, 0.002664521109523567)	(75, 2.070334972434784e-06)	(80, 0.00042959450678021766)	(85, 0.0003364294330206524)	(90, 2.0703349724347837e-05)	(95, 1.7597847265695663e-05)	(100, 0.00026810837893030454)	(105, 9.730574370443485e-05)	(110, 0.00040682082208343503)	(115, 2.3808852183000015e-05)	(120, 3.1055024586521755e-06)	(125, 6.832105409034787e-05)	(130, 1.0351674862173919e-05)	(135, 0.0002857062261960002)	(140, 3.1055024586521756e-05)	(145, 0.00011904426091500006)	(150, 0.0)
101112L9_R2_001	(1, 0.006785522872155003)	(2, 0.004249362530922393)	(3, 0.0)	(4, 0.0073393374772813096)	(5, 0.005160309918793698)	(6, 0.007577425999111308)	(7, 0.00282600723737348)	(8, 0.002028928272986088)	(9, 0.008705758559088266)	(10, 0.0018705476475948271)	(15, 0.0007960437969011744)	(20, 0.0009554595897786528)	(25, 0.00017390813768452184)	(30, 0.0004968803933843481)	(35, 3.312535955895654e-05)	(40, 0.0002494753641783914)	(45, 0.0005796937922817395)	(50, 2.6914354641652186e-05)	(55, 0.00032814809313091325)	(60, 0.0007059842256002612)	(65, 0.00021117416718834797)	(70, 0.00024844019669217405)	(75, 0.00017390813768452184)	(80, 1.4492344807043486e-05)	(85, 0.0004585791963943046)	(90, 0.00024429952674730453)	(95, 0.0013809134266140007)	(100, 0.0)	(105, 1.4492344807043486e-05)	(110, 9.316507375956526e-05)	(115, 5.5899044255739164e-05)	(120, 0.00010351674862173919)	(125, 3.1055024586521755e-06)	(130, 0.0002567215365819132)	(135, 0.00039750431470747847)	(140, 6.41803841454783e-05)	(145, 4.968803933843481e-05)	(150, 0.0)
101112M14_R1_001	(1, 7.039435077754081e-05)	(2, 0.21959246977550861)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 5.9564450657919146e-05)	(7, 0.001732784019139466)	(8, 0.0)	(9, 0.0)	(10, 0.0025515244681828635)	(15, 2.1659800239243325e-06)	(20, 0.00021334903235654674)	(25, 3.140671034690282e-05)	(30, 0.00024908770275129823)	(35, 0.0032164803355276337)	(40, 0.0)	(45, 0.0)	(50, 7.905827087323813e-05)	(55, 0.0)	(60, 0.022670229920404024)	(65, 1.0829900119621662e-06)	(70, 0.0027919482508384644)	(75, 0.0)	(80, 0.00041478517458150966)	(85, 0.0003368098937202337)	(90, 5.414950059810831e-06)	(95, 4.331960047848665e-06)	(100, 0.0002534196627991469)	(105, 7.147734078950296e-05)	(110, 0.00040070630442600147)	(115, 2.0576810227281156e-05)	(120, 0.0)	(125, 3.465568038278932e-05)	(130, 1.2995880143545993e-05)	(135, 0.00023175986255990358)	(140, 2.815774031101632e-05)	(145, 0.00010721601118425445)	(150, 0.0)
101112M14_R2_001	(1, 0.003806709892047014)	(2, 0.001819423220096439)	(3, 0.0)	(4, 0.007900412137264003)	(5, 0.005284991258375371)	(6, 0.007775868285888353)	(7, 0.0028699235316997406)	(8, 0.0018735727206945474)	(9, 0.009346203803233494)	(10, 0.001915809331161072)	(15, 0.0007418481581940838)	(20, 0.0009627781206343657)	(25, 0.00013320777147134646)	(30, 0.00041478517458150966)	(35, 2.1659800239243323e-05)	(40, 0.00021118305233262238)	(45, 0.0005772336763758346)	(50, 2.0576810227281156e-05)	(55, 0.0002664155429426929)	(60, 0.0006660388573567322)	(65, 0.00017652737194983307)	(70, 0.00020576810227281156)	(75, 0.00012454385137564912)	(80, 7.580930083735163e-06)	(85, 0.00047651560526335316)	(90, 0.00021768099240439539)	(95, 0.00018952325209337908)	(100, 0.0)	(105, 3.2489700358864983e-06)	(110, 7.36433208134273e-05)	(115, 4.007063044260015e-05)	(120, 8.663920095697329e-05)	(125, 0.0)	(130, 0.00024258976267952522)	(135, 0.00038337846423460684)	(140, 7.472631082538946e-05)	(145, 4.223661046652448e-05)	(150, 5.414950059810831e-06)
