Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
101112H9_R1_001	(1, 36.14556346045731)	(2, 36.25864279576943)	(3, 36.48440704466741)	(4, 36.52721837821408)	(5, 36.53220849985533)	(6, 36.55262785411601)	(7, 36.516814072190535)	(8, 36.56955638503348)	(9, 36.574771241337295)	(10, 36.59864948513713)	(15, 36.604012277989966)	(20, 36.5868787799717)	(25, 36.51301021081319)	(30, 36.4686685230342)	(35, 36.43887218727296)	(40, 36.401403259344576)	(45, 36.3718597190951)	(50, 36.3401672052742)	(55, 36.30758195985873)	(60, 36.2699626683296)	(65, 36.2438222987082)	(70, 36.21261026883523)	(75, 36.18359529914161)	(80, 36.135771308520155)	(85, 36.10107325776802)	(90, 36.05931090630811)	(95, 36.018904553815204)	(100, 35.96904502072521)	(105, 35.91365293542354)	(110, 35.8700380618515)	(115, 35.81044563819816)	(120, 35.75668877641942)	(125, 35.70300017159772)	(130, 35.63413266130509)	(135, 35.50630666294381)	(140, 35.49220887992131)	(145, 35.42627907304594)	(150, 35.32538997170109)
101112H9_R2_001	(1, 35.51080319455779)	(2, 35.91636431368477)	(3, 36.045944450776005)	(4, 35.996995568151895)	(5, 36.036428394047235)	(6, 35.99380952053903)	(7, 36.012894564380105)	(8, 36.06227050483037)	(9, 36.04549177980816)	(10, 36.073548570133454)	(15, 36.05613298673658)	(20, 36.037283129372334)	(25, 35.92543136584298)	(30, 35.866087699500426)	(35, 35.82912054128005)	(40, 35.793219199590354)	(45, 35.75204220136897)	(50, 35.70585453935358)	(55, 35.68018975826513)	(60, 35.62934790955194)	(65, 35.582790798623435)	(70, 35.53036778250972)	(75, 35.473595768543746)	(80, 35.43110710894297)	(85, 35.38081422834808)	(90, 35.32595806705262)	(95, 35.259178957316884)	(100, 35.226935657670865)	(105, 35.12114129887237)	(110, 35.08611917991058)	(115, 34.98698183155548)	(120, 34.94875000380841)	(125, 34.82655372235117)	(130, 34.7358915870073)	(135, 34.64982191895207)	(140, 34.54710025928658)	(145, 34.43081624486659)	(150, 34.35706583697989)
101112L14_R1_001	(1, 35.988628219424605)	(2, 36.042173747675356)	(3, 36.27607096752818)	(4, 36.32802231116372)	(5, 36.34290129789256)	(6, 36.367404707163885)	(7, 36.3241824715051)	(8, 36.3789910663995)	(9, 36.38329518195131)	(10, 36.40535273941068)	(15, 36.39573840300589)	(20, 36.375557264334255)	(25, 36.31790049047895)	(30, 36.277012720135176)	(35, 36.24728700141426)	(40, 36.21279528474629)	(45, 36.18153814540698)	(50, 36.15367819493044)	(55, 36.121928360829116)	(60, 36.08739311176371)	(65, 36.06199203623652)	(70, 36.03447501444199)	(75, 36.008372037798026)	(80, 35.96253544388988)	(85, 35.92869101686768)	(90, 35.890942439300524)	(95, 35.853137337554394)	(100, 35.80229178997797)	(105, 35.7500905505223)	(110, 35.70708116895096)	(115, 35.65042982101966)	(120, 35.596237985607026)	(125, 35.54129018110835)	(130, 35.46357073105267)	(135, 35.32879809715867)	(140, 35.31054720484904)	(145, 35.23236893482128)	(150, 35.118022861981814)
101112L14_R2_001	(1, 35.50554523308751)	(2, 35.74146150957394)	(3, 35.87202792093764)	(4, 35.79781986826981)	(5, 35.83614175653694)	(6, 35.78738186545887)	(7, 35.80166723333689)	(8, 35.87105374636259)	(9, 35.84557125009681)	(10, 35.871436308862414)	(15, 35.850986084579105)	(20, 35.834074861299925)	(25, 35.782889447464655)	(30, 35.733927101995526)	(35, 35.69571903553111)	(40, 35.659637618137154)	(45, 35.611844930179366)	(50, 35.561551162273204)	(55, 35.538191426950185)	(60, 35.483773327590335)	(65, 35.43671009210577)	(70, 35.38296751312531)	(75, 35.32557857064692)	(80, 35.284048726183514)	(85, 35.2339192839323)	(90, 35.18389126746378)	(95, 35.118118236081884)	(100, 35.089096676100255)	(105, 34.97702186559683)	(110, 34.94871932703617)	(115, 34.84805975634191)	(120, 34.82384083886564)	(125, 34.69431968583092)	(130, 34.601657826576336)	(135, 34.521558016666056)	(140, 34.422526609896515)	(145, 34.31334529803596)	(150, 34.24121343239419)
101112L4_R1_001	(1, 35.98201226811617)	(2, 36.03761773656769)	(3, 36.2705065725498)	(4, 36.31826702067735)	(5, 36.327938236343684)	(6, 36.359787346933416)	(7, 36.318171037776246)	(8, 36.36529499593949)	(9, 36.36863305602854)	(10, 36.397596513085986)	(15, 36.38742291540824)	(20, 36.36406436645521)	(25, 36.30229777166848)	(30, 36.259302901391514)	(35, 36.224401137745915)	(40, 36.187286973592094)	(45, 36.14035290070783)	(50, 36.12080578449802)	(55, 36.07487966076747)	(60, 36.0370981527045)	(65, 36.00674224649857)	(70, 35.97422360423301)	(75, 35.97355458732581)	(80, 35.928712662852554)	(85, 35.89589916540454)	(90, 35.85399655909343)	(95, 35.82022653573312)	(100, 35.77135071267304)	(105, 35.72070014968507)	(110, 35.67788229547129)	(115, 35.62864175883572)	(120, 35.575250739242605)	(125, 35.52528432521474)	(130, 35.453863748786475)	(135, 35.33196823126839)	(140, 35.32001596855193)	(145, 35.25674112312327)	(150, 35.15638166983973)
101112L4_R2_001	(1, 35.351043251021295)	(2, 35.78621728437562)	(3, 35.92263397456882)	(4, 35.9008199567219)	(5, 35.93139860760447)	(6, 35.92324258123223)	(7, 35.91774184942964)	(8, 35.94385622297632)	(9, 35.9187055392054)	(10, 35.947338504076995)	(15, 35.92431298897993)	(20, 35.89847801683239)	(25, 35.850904365372045)	(30, 35.798758088503206)	(35, 35.75810304541948)	(40, 35.72123360012826)	(45, 35.678846617983496)	(50, 35.6287769499476)	(55, 35.600186078135984)	(60, 35.54776734924451)	(65, 35.50064762719812)	(70, 35.46315585880433)	(75, 35.404310715418475)	(80, 35.35015085670101)	(85, 35.30864081509323)	(90, 35.26859096833074)	(95, 35.214030716137)	(100, 35.189401031843)	(105, 35.0822644564861)	(110, 35.05218361904333)	(115, 34.95939129681747)	(120, 34.928107423633946)	(125, 34.801719080569605)	(130, 34.71113409696042)	(135, 34.62635389110123)	(140, 34.52278767590274)	(145, 34.406406456485556)	(150, 34.33149952370496)
101112L9_R1_001	(1, 36.16384475696726)	(2, 36.279925178094096)	(3, 36.50470242946045)	(4, 36.544815894168615)	(5, 36.553649392395506)	(6, 36.57130738289215)	(7, 36.53797348884309)	(8, 36.59036502334691)	(9, 36.5905723673944)	(10, 36.61407827781255)	(15, 36.617312565458164)	(20, 36.600377256438684)	(25, 36.52638947814361)	(30, 36.48285195888625)	(35, 36.45382113185731)	(40, 36.42027236809314)	(45, 36.390627241622845)	(50, 36.36322256954967)	(55, 36.33217112664265)	(60, 36.29756473225781)	(65, 36.270812981724895)	(70, 36.240490338134876)	(75, 36.210769789361535)	(80, 36.16488815403499)	(85, 36.13097474217213)	(90, 36.09055330478514)	(95, 36.050835512145234)	(100, 36.00038180082394)	(105, 35.94876264618829)	(110, 35.904212971217945)	(115, 35.84593456344011)	(120, 35.79241514149834)	(125, 35.74245063997936)	(130, 35.67158893292089)	(135, 35.54650032905386)	(140, 35.53037164324299)	(145, 35.461976823117574)	(150, 35.36043098163121)
101112L9_R2_001	(1, 35.51834174450048)	(2, 35.89377841049515)	(3, 36.02962338795308)	(4, 35.981040596939685)	(5, 35.98939041315864)	(6, 35.9547780872641)	(7, 35.96399998033182)	(8, 36.02800045236819)	(9, 36.013557174499994)	(10, 36.0401426874863)	(15, 36.02068963375516)	(20, 36.005199905075145)	(25, 35.90061513275117)	(30, 35.84343046223593)	(35, 35.8074294695103)	(40, 35.771044874769316)	(45, 35.730164071458645)	(50, 35.68192108452427)	(55, 35.65984155208873)	(60, 35.60534169196573)	(65, 35.55951047964744)	(70, 35.50737373091702)	(75, 35.448003024759394)	(80, 35.40411239952082)	(85, 35.355258529197805)	(90, 35.300419599964705)	(95, 35.2314229334628)	(100, 35.19949299566859)	(105, 35.093526647410826)	(110, 35.05799852954459)	(115, 34.955644657021836)	(120, 34.92039407791033)	(125, 34.79528873538506)	(130, 34.702230822163656)	(135, 34.61476350693006)	(140, 34.51065722007324)	(145, 34.39152709201527)	(150, 34.31078978362153)
101112M14_R1_001	(1, 35.99352469441948)	(2, 36.055168269302364)	(3, 36.28475354206775)	(4, 36.332380410421806)	(5, 36.340173173351886)	(6, 36.36311528791479)	(7, 36.31647161204309)	(8, 36.37531381666203)	(9, 36.37601277841575)	(10, 36.403772043381764)	(15, 36.394594699381194)	(20, 36.372623247106205)	(25, 36.31431562801698)	(30, 36.2734234088616)	(35, 36.242151465791785)	(40, 36.20620057267429)	(45, 36.17698403634817)	(50, 36.147411510375235)	(55, 36.11540013421495)	(60, 36.078476965154415)	(65, 36.05318462147685)	(70, 36.02310969643736)	(75, 35.99504955518622)	(80, 35.9472277594599)	(85, 35.91195369178028)	(90, 35.87028283529601)	(95, 35.83156196779502)	(100, 35.778990426963944)	(105, 35.72348355000444)	(110, 35.680500694440276)	(115, 35.62012947037294)	(120, 35.565668382718485)	(125, 35.51081132142597)	(130, 35.43477794995514)	(135, 35.29973431547531)	(140, 35.29040002456222)	(145, 35.2204696158759)	(150, 35.111478334974336)
101112M14_R2_001	(1, 35.36905673356892)	(2, 35.71026004702018)	(3, 35.82541480818812)	(4, 35.76628858943854)	(5, 35.77902373973671)	(6, 35.74614795343858)	(7, 35.74718545787004)	(8, 35.811892270001756)	(9, 35.78441551381026)	(10, 35.81252650144246)	(15, 35.78804111528261)	(20, 35.76668988055758)	(25, 35.7166262196972)	(30, 35.662207985957515)	(35, 35.62208055268879)	(40, 35.58142319074741)	(45, 35.534873962434645)	(50, 35.48162390670127)	(55, 35.455149468595756)	(60, 35.39780855888089)	(65, 35.34568476944035)	(70, 35.291585617047915)	(75, 35.22922301260638)	(80, 35.184489460368276)	(85, 35.13289019548024)	(90, 35.077726333947226)	(95, 35.008160925384644)	(100, 34.976914638348205)	(105, 34.85915185312316)	(110, 34.830067105851604)	(115, 34.721306978338205)	(120, 34.69314684461925)	(125, 34.557786847097134)	(130, 34.458843558356456)	(135, 34.370771669912656)	(140, 34.26568075587938)	(145, 34.148562425520744)	(150, 34.06762308763593)
