Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
101112L14_R1_001	(1.0, 34.380350723375756)	(2.0, 19.11648622120509)	(3.0, 10.870145251998037)	(4.0, 6.163919548555246)	(5.0, 3.846545716010756)	(6.0, 2.617162910756217)	(7.0, 1.9018867896141902)	(8.0, 1.398359207150498)	(9.0, 1.1419341192462602)	('>10', 9.855299636100199)	('>50', 2.2016034032383334)	('>100', 4.326220696731375)	('>500', 1.164834827414306)	('>1k', 0.9799469099834084)	('>5k', 0.03530403862038593)	('>10k+', 0.0)
101112L14_R2_001	(1.0, 37.38440148635181)	(2.0, 18.347771865048866)	(3.0, 10.50360313747309)	(4.0, 5.669692050405142)	(5.0, 3.7438294997985517)	(6.0, 2.415659542936386)	(7.0, 1.7574092158819963)	(8.0, 1.3547479436375844)	(9.0, 1.0593494670015156)	('>10', 9.386706643772744)	('>50', 2.158582678663384)	('>100', 4.141762290480085)	('>500', 1.1566612856573117)	('>1k', 0.8845301209666395)	('>5k', 0.035292771924958395)	('>10k+', 0.0)
101112L4_R1_001	(1.0, 28.925150516797434)	(2.0, 18.840489563241515)	(3.0, 12.027133092319179)	(4.0, 7.0239645999556215)	(5.0, 4.4094644317339675)	(6.0, 2.6825626135597838)	(7.0, 1.8484601039824664)	(8.0, 1.268799839782875)	(9.0, 0.9209747244467329)	('>10', 7.055321575784866)	('>50', 1.9423951187274553)	('>100', 5.5769198908072894)	('>500', 2.789573615336621)	('>1k', 4.029904001806458)	('>5k', 0.3563798630351618)	('>10k+', 0.30250644868254084)
101112L4_R2_001	(1.0, 31.60404334917855)	(2.0, 18.35562903999772)	(3.0, 11.71078767858688)	(4.0, 6.876197947932418)	(5.0, 4.034225481368702)	(6.0, 2.4945186305057176)	(7.0, 1.7152489317213377)	(8.0, 1.1709051659449947)	(9.0, 0.8947195217390359)	('>10', 6.941488938741312)	('>50', 1.8296140582602045)	('>100', 5.483710803651022)	('>500', 2.6647884618891085)	('>1k', 3.765438050053041)	('>5k', 0.3744705397265662)	('>10k+', 0.0842134007032524)
101112L9_R1_001	(1.0, 43.10481425082984)	(2.0, 14.467454177607994)	(3.0, 7.636884834808794)	(4.0, 4.484847661835743)	(5.0, 2.8670722291954838)	(6.0, 2.1479106775172183)	(7.0, 1.6304847705042906)	(8.0, 1.2141742626503598)	(9.0, 0.9607753930041543)	('>10', 8.244932769439478)	('>50', 2.0160163836750606)	('>100', 5.384071550192719)	('>500', 2.363066486704104)	('>1k', 3.0594841755616438)	('>5k', 0.35442382546653084)	('>10k+', 0.06358655100659147)
101112L9_R2_001	(1.0, 46.76587552382424)	(2.0, 13.770642519895526)	(3.0, 6.988714452414799)	(4.0, 4.211633277038404)	(5.0, 2.7280771907263612)	(6.0, 1.9868266859792667)	(7.0, 1.4361698911054288)	(8.0, 1.1060514600648146)	(9.0, 0.9233465797629465)	('>10', 7.599309885757095)	('>50', 1.8575864009112195)	('>100', 5.006895335892139)	('>500', 2.33750938110371)	('>1k', 2.7708138213397326)	('>5k', 0.33830492806176327)	('>10k+', 0.17224266612261874)
101112M14_R1_001	(1.0, 33.28637665452815)	(2.0, 19.074825207165574)	(3.0, 10.880994809547172)	(4.0, 6.294962227622417)	(5.0, 3.876559794934635)	(6.0, 2.566027713166257)	(7.0, 1.8692614622809407)	(8.0, 1.4172455777394823)	(9.0, 1.1006993754972478)	('>10', 9.079795216380749)	('>50', 2.2057839077767905)	('>100', 5.076110401715071)	('>500', 1.7382057138037341)	('>1k', 1.4942880673036265)	('>5k', 0.0388638705381583)	('>10k+', 0.0)
101112M14_R2_001	(1.0, 36.59565814877761)	(2.0, 18.321333584163057)	(3.0, 10.396147900663003)	(4.0, 6.003492978539636)	(5.0, 3.605958708534503)	(6.0, 2.418269623969889)	(7.0, 1.7427357960203549)	(8.0, 1.3183553177826919)	(9.0, 1.0150447967577376)	('>10', 8.740429232957297)	('>50', 2.07261438806383)	('>100', 4.787750030158235)	('>500', 1.614817073416104)	('>1k', 1.3283597143530481)	('>5k', 0.039032705843023756)	('>10k+', 0.0)
101112M4_R1_001	(1.0, 47.87599288180512)	(2.0, 16.419275812262725)	(3.0, 8.119067442249465)	(4.0, 4.4450362583299246)	(5.0, 2.781150606766495)	(6.0, 1.8551281693945438)	(7.0, 1.2707142127630948)	(8.0, 0.9830118032745617)	(9.0, 0.7913361758131654)	('>10', 6.687507024198856)	('>50', 1.7529027018147167)	('>100', 4.060728352634473)	('>500', 1.3714488921428984)	('>1k', 1.3887541609021374)	('>5k', 0.10788418874859773)	('>10k+', 0.09006131689929733)
101112M4_R2_001	(1.0, 51.57009718407631)	(2.0, 15.343081868364036)	(3.0, 7.323115966523212)	(4.0, 4.075569413220828)	(5.0, 2.5043098451830192)	(6.0, 1.6599379328238084)	(7.0, 1.1398100006004415)	(8.0, 0.903599075132928)	(9.0, 0.6813627215314522)	('>10', 6.176847019004143)	('>50', 1.6974991314459769)	('>100', 3.9214104513148316)	('>500', 1.3346522732345498)	('>1k', 1.2427005779325764)	('>5k', 0.11376592257298665)	('>10k+', 0.31224061703894557)
