Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
131415H4_R1_001	(1.0, 29.447211467305085)	(2.0, 18.60452860449195)	(3.0, 11.61668999044864)	(4.0, 6.971939955890254)	(5.0, 4.2135332907361285)	(6.0, 2.6382904979497823)	(7.0, 1.7632943397397967)	(8.0, 1.2840365301741767)	(9.0, 0.9551650979183695)	('>10', 7.548553325309718)	('>50', 2.1175793533322027)	('>100', 5.956229948184542)	('>500', 2.8265368615842066)	('>1k', 3.7233807780255352)	('>5k', 0.25947423239748896)	('>10k+', 0.07355572651204957)
131415H4_R2_001	(1.0, 31.714269174780483)	(2.0, 18.231001722857123)	(3.0, 11.189074832994898)	(4.0, 6.676297116029358)	(5.0, 3.9930161364453514)	(6.0, 2.5284425288220986)	(7.0, 1.7531319930930118)	(8.0, 1.1716172591438445)	(9.0, 0.9507553996346172)	('>10', 7.375359316606215)	('>50', 2.114914330451896)	('>100', 5.742447277801832)	('>500', 2.7663555647184523)	('>1k', 3.49406436580518)	('>5k', 0.22629824346843191)	('>10k+', 0.0729547373471955)
131415H9_R1_001	(1.0, 43.32323019327896)	(2.0, 14.87600724988067)	(3.0, 7.327963862387735)	(4.0, 4.201092885044027)	(5.0, 2.666697374542425)	(6.0, 1.8007102514103936)	(7.0, 1.3126189858029353)	(8.0, 1.0584952868911817)	(9.0, 0.834179573568341)	('>10', 7.722641434648578)	('>50', 2.2148791245827555)	('>100', 6.1643911423988635)	('>500', 2.7651730295662085)	('>1k', 3.39730531863628)	('>5k', 0.27361630840810186)	('>10k+', 0.060997978952660716)
131415H9_R2_001	(1.0, 47.16617506921143)	(2.0, 13.698693315010594)	(3.0, 6.640100003966384)	(4.0, 3.857555487304261)	(5.0, 2.42446253157822)	(6.0, 1.7302128440762339)	(7.0, 1.2264949227716302)	(8.0, 0.9782203067691927)	(9.0, 0.759035782946948)	('>10', 7.283797924832965)	('>50', 2.082224180059229)	('>100', 5.926317642477781)	('>500', 2.5733118248388527)	('>1k', 3.2442246115221667)	('>5k', 0.20546990986635905)	('>10k+', 0.20370364276781425)
131415L14_R1_001	(1.0, 46.52886140840231)	(2.0, 15.357377357879374)	(3.0, 7.673617719168574)	(4.0, 4.546537906089646)	(5.0, 3.1218538808687293)	(6.0, 2.1881697894078904)	(7.0, 1.6252265126255014)	(8.0, 1.3807177858670774)	(9.0, 1.054192187891609)	('>10', 9.28303647446436)	('>50', 1.9512896683865573)	('>100', 3.5363657183209876)	('>500', 0.994995196156319)	('>1k', 0.7269622978774384)	('>5k', 0.03079609659353324)	('>10k+', 0.0)
131415L14_R2_001	(1.0, 50.41121184766947)	(2.0, 14.425162583558693)	(3.0, 7.093864363161138)	(4.0, 4.114157785837294)	(5.0, 2.7214024160063497)	(6.0, 1.9606493406738736)	(7.0, 1.4881604867737745)	(8.0, 1.198862004858151)	(9.0, 0.9932545124737205)	('>10', 8.550114675889896)	('>50', 1.9039819384648355)	('>100', 3.3041277623096033)	('>500', 0.9557488142063636)	('>1k', 0.6958464097124245)	('>5k', 0.029869689951982602)	('>10k+', 0.1535853684525125)
131415L4_R1_001	(1.0, 4.57432138031674)	(2.0, 2.962137969076497)	(3.0, 3.365927358009282)	(4.0, 3.545153854892633)	(5.0, 3.486590477533116)	(6.0, 3.144885348470651)	(7.0, 2.740687914445046)	(8.0, 2.2668875360183542)	(9.0, 1.8330223927045726)	('>10', 7.522372412744242)	('>50', 1.947551905141174)	('>100', 9.498111623156788)	('>500', 7.310153845438136)	('>1k', 25.906884060801822)	('>5k', 9.450692071298192)	('>10k+', 10.444619849952733)
131415L4_R2_001	(1.0, 5.997224007927385)	(2.0, 3.054612106176817)	(3.0, 3.4097796718877857)	(4.0, 3.6043602786864533)	(5.0, 3.5032791158898533)	(6.0, 3.129982055397826)	(7.0, 2.7391098243492293)	(8.0, 2.322588449000558)	(9.0, 1.7868266942233626)	('>10', 7.50202688077783)	('>50', 1.9333743208572858)	('>100', 9.401861379484322)	('>500', 7.215820237388177)	('>1k', 25.093616661101425)	('>5k', 9.505102590127208)	('>10k+', 9.800435726724476)
131415L9_R1_001	(1.0, 44.45792111210563)	(2.0, 15.535591317118126)	(3.0, 7.905168973611651)	(4.0, 4.579026955589992)	(5.0, 3.0697311812335473)	(6.0, 1.9670141681085263)	(7.0, 1.4971238319140212)	(8.0, 1.0907360608926326)	(9.0, 0.9008194617375855)	('>10', 7.760446158151218)	('>50', 1.9663049120984786)	('>100', 4.949016786021049)	('>500', 1.9307562997194074)	('>1k', 2.0762497722122135)	('>5k', 0.17660741604571617)	('>10k+', 0.13748559344023548)
131415L9_R2_001	(1.0, 48.92870517938175)	(2.0, 14.2398310200168)	(3.0, 7.185965195311218)	(4.0, 4.125628416659423)	(5.0, 2.564960475328669)	(6.0, 1.8131120465819859)	(7.0, 1.368282031217667)	(8.0, 1.0322161104819827)	(9.0, 0.8680718903120598)	('>10', 7.222215752688982)	('>50', 1.8548105528430947)	('>100', 4.6420080233975325)	('>500', 1.8683154050804562)	('>1k', 1.8731839650349968)	('>5k', 0.17054184250974713)	('>10k+', 0.24215209315357625)
131415M14_R1_001	(1.0, 41.51975456314631)	(2.0, 15.741009064818401)	(3.0, 8.334576750105537)	(4.0, 5.120085657608835)	(5.0, 3.4589473087546376)	(6.0, 2.4145223830110503)	(7.0, 1.8981046321350825)	(8.0, 1.4064951628984792)	(9.0, 1.1312379293038541)	('>10', 10.118434324570904)	('>50', 2.250713989656392)	('>100', 4.194478134065033)	('>500', 1.2971577431420622)	('>1k', 0.9859467789157843)	('>5k', 0.0)	('>10k+', 0.12853557786771075)
131415M14_R2_001	(1.0, 46.337879100186356)	(2.0, 14.403284184578116)	(3.0, 7.724167529635237)	(4.0, 4.621207760336243)	(5.0, 2.991274327737412)	(6.0, 2.2144434789373193)	(7.0, 1.647564634912035)	(8.0, 1.3197766252596799)	(9.0, 1.0765866125804033)	('>10', 9.259748223950252)	('>50', 2.090031704645394)	('>100', 3.9170506645733476)	('>500', 1.2438317054467396)	('>1k', 0.8313281908219154)	('>5k', 0.043965711357936504)	('>10k+', 0.27785954504165367)
131415M4_R1_001	(1.0, 41.31014926900388)	(2.0, 16.28076002434269)	(3.0, 8.560035540455905)	(4.0, 4.937032871877076)	(5.0, 3.040568511482958)	(6.0, 1.9320556901271526)	(7.0, 1.4784021243836536)	(8.0, 1.0877975701968168)	(9.0, 0.8206352474526702)	('>10', 7.141329479116049)	('>50', 1.9545532732535897)	('>100', 5.389396992005969)	('>500', 2.463113603891565)	('>1k', 3.360079795230147)	('>5k', 0.1792283164673782)	('>10k+', 0.06486169071243587)
131415M4_R2_001	(1.0, 45.236857201698506)	(2.0, 15.213925134635515)	(3.0, 7.708469988943133)	(4.0, 4.454864457302977)	(5.0, 2.7585501700341073)	(6.0, 1.8082058329241892)	(7.0, 1.3384488081453487)	(8.0, 0.9916826336267686)	(9.0, 0.7831739616648193)	('>10', 6.770889938535948)	('>50', 1.8311232933418493)	('>100', 5.21979388472505)	('>500', 2.337369351361132)	('>1k', 3.11447556347868)	('>5k', 0.17386051849444384)	('>10k+', 0.25830926108761)
131415M9_R1_001	(1.0, 45.006318927120404)	(2.0, 14.840221373427001)	(3.0, 7.511185274024726)	(4.0, 4.3667138844319515)	(5.0, 2.78573902923607)	(6.0, 2.014244241063184)	(7.0, 1.4290384891404284)	(8.0, 1.1288410535711697)	(9.0, 0.8757710873270458)	('>10', 7.590641491869129)	('>50', 2.042794814144066)	('>100', 5.426332738138081)	('>500', 2.2199610668832337)	('>1k', 2.592079877405409)	('>5k', 0.17011665221798847)	('>10k+', 0.0)
131415M9_R2_001	(1.0, 48.00659522812952)	(2.0, 14.340198895122109)	(3.0, 7.0177380181636275)	(4.0, 4.005462099109507)	(5.0, 2.5072896550165082)	(6.0, 1.8216881371468638)	(7.0, 1.27292404528525)	(8.0, 1.088063158644285)	(9.0, 0.8072639764492061)	('>10', 7.2028866242847105)	('>50', 1.977014368717648)	('>100', 5.187393505052773)	('>500', 2.1175465213920464)	('>1k', 2.3701488063411644)	('>5k', 0.16482555647304684)	('>10k+', 0.11296140467171953)
13M14_R1_001	(1.0, 28.087770911032493)	(2.0, 18.049285003219854)	(3.0, 11.357733305769806)	(4.0, 6.997571420161258)	(5.0, 4.311815029489156)	(6.0, 2.834141784342683)	(7.0, 1.9852060899628348)	(8.0, 1.5040302898712632)	(9.0, 1.247983159763649)	('>10', 10.59782047022953)	('>50', 2.6387408348692887)	('>100', 6.387639580676209)	('>500', 2.220390779453541)	('>1k', 1.7409979698969482)	('>5k', 0.03887337126158307)	('>10k+', 0.0)
13M14_R2_001	(1.0, 29.826478339617736)	(2.0, 17.62074895657478)	(3.0, 11.166639737595476)	(4.0, 6.773880930239796)	(5.0, 4.161398606677942)	(6.0, 2.8026256721788116)	(7.0, 1.9377427326091263)	(8.0, 1.4350924584060383)	(9.0, 1.223297431821402)	('>10', 10.365667677733494)	('>50', 2.696264560446074)	('>100', 6.1108749303513195)	('>500', 2.109318797204709)	('>1k', 1.7341830678035537)	('>5k', 0.035786100739657704)	('>10k+', 0.0)
456C4_R1_001	(1.0, 48.92062574842153)	(2.0, 16.914968057543334)	(3.0, 7.515436008453516)	(4.0, 4.054630616175434)	(5.0, 2.463001836947183)	(6.0, 1.6822911573717014)	(7.0, 1.2059636431371061)	(8.0, 0.8937721680574594)	(9.0, 0.7164109456727195)	('>10', 6.146745924716781)	('>50', 1.58791787810168)	('>100', 4.1257794239882815)	('>500', 1.6422502558970085)	('>1k', 1.9947318603702073)	('>5k', 0.1354744751462102)	('>10k+', 0.0)
456C4_R2_001	(1.0, 51.83643531468264)	(2.0, 15.836018463891428)	(3.0, 6.919545308236093)	(4.0, 3.845209664217781)	(5.0, 2.3178700371786416)	(6.0, 1.4909861193779648)	(7.0, 1.0863871640253981)	(8.0, 0.8609523955159096)	(9.0, 0.6090969847022117)	('>10', 5.896746258063818)	('>50', 1.604971588229105)	('>100', 3.902963319372637)	('>500', 1.5819303008918242)	('>1k', 1.8702079925520003)	('>5k', 0.13462551499556902)	('>10k+', 0.20605357406733885)
456H4_R1_001	(1.0, 26.99499575465305)	(2.0, 14.421979985798469)	(3.0, 8.554464786039894)	(4.0, 5.160687830586035)	(5.0, 3.1262776814361652)	(6.0, 2.1106235311435633)	(7.0, 1.454918321287967)	(8.0, 1.057170089126765)	(9.0, 0.7796556108586885)	('>10', 7.057508218149894)	('>50', 2.531522835779822)	('>100', 7.644457731422379)	('>500', 4.801970906826048)	('>1k', 10.455232206029097)	('>5k', 2.72896570112785)	('>10k+', 1.119568809734272)
456H4_R2_001	(1.0, 29.85671781472336)	(2.0, 14.085575383413445)	(3.0, 8.132030402832232)	(4.0, 4.9364769003734805)	(5.0, 2.9728776049985672)	(6.0, 1.941271305949314)	(7.0, 1.3366414898016612)	(8.0, 0.9568170481467948)	(9.0, 0.7428654572158454)	('>10', 6.802694455126945)	('>50', 2.441987439345942)	('>100', 7.393676707474181)	('>500', 4.612028227922598)	('>1k', 9.959053121264128)	('>5k', 2.6833369474237734)	('>10k+', 1.1459496939877578)
456H9_R1_001	(1.0, 16.224977943760425)	(2.0, 14.19209867904699)	(3.0, 12.46801076770099)	(4.0, 9.854565464107962)	(5.0, 7.375895305747822)	(6.0, 5.471233679277241)	(7.0, 3.8600248543966966)	(8.0, 2.7336760106240785)	(9.0, 1.9204999205656312)	('>10', 8.876602185025192)	('>50', 1.9339203578642488)	('>100', 6.305203429589912)	('>500', 3.0991011228792704)	('>1k', 4.653575661912318)	('>5k', 0.5871148149325618)	('>10k+', 0.44349980256865723)
456H9_R2_001	(1.0, 19.220655430312277)	(2.0, 13.821548279326246)	(3.0, 12.179712114197807)	(4.0, 9.535019013032993)	(5.0, 7.207070856781684)	(6.0, 5.164897165811308)	(7.0, 3.6842779769891165)	(8.0, 2.651392212552913)	(9.0, 1.8240012537811694)	('>10', 8.40008255357109)	('>50', 1.8272669879886934)	('>100', 6.1847665715221245)	('>500', 2.9251471855481923)	('>1k', 4.472570895501582)	('>5k', 0.45099961108964254)	('>10k+', 0.450591891993194)
456L14_R1_001	(1.0, 42.665600927743775)	(2.0, 17.269044568317454)	(3.0, 8.823963994827617)	(4.0, 5.048452365135468)	(5.0, 3.1499741218741115)	(6.0, 2.2482344813974295)	(7.0, 1.6991985476853715)	(8.0, 1.2590583375002402)	(9.0, 1.0454425829149019)	('>10', 9.15842538783066)	('>50', 2.053821971672602)	('>100', 3.8422790075380906)	('>500', 0.9839658580765163)	('>1k', 0.7525378474857004)	('>5k', 0.0)	('>10k+', 0.0)
456L14_R2_001	(1.0, 45.00870504907874)	(2.0, 16.683810569735773)	(3.0, 8.329232287469193)	(4.0, 4.716145940107244)	(5.0, 3.045844206006211)	(6.0, 2.07979824705956)	(7.0, 1.4948617350681674)	(8.0, 1.189221430766044)	(9.0, 0.9521433592572591)	('>10', 8.823414589654345)	('>50', 2.027728105713705)	('>100', 3.6758978271989444)	('>500', 0.9307937111980807)	('>1k', 0.7037842258535296)	('>5k', 0.0)	('>10k+', 0.3386187158333043)
456L4_R1_001	(1.0, 13.554290574428174)	(2.0, 10.383898762504884)	(3.0, 8.350039941805601)	(4.0, 6.060564795679345)	(5.0, 4.182299092704494)	(6.0, 2.6762515416509927)	(7.0, 1.7825348062157627)	(8.0, 1.2478248025318364)	(9.0, 0.8346588528993435)	('>10', 5.852711560595751)	('>50', 2.350177565205221)	('>100', 8.837792413678356)	('>500', 6.650585415767862)	('>1k', 18.031760619080067)	('>5k', 5.702549371946417)	('>10k+', 3.502059883305949)
456L4_R2_001	(1.0, 14.883357586054458)	(2.0, 10.542711825168444)	(3.0, 8.192637518789253)	(4.0, 5.9795886006899055)	(5.0, 3.9869462192441674)	(6.0, 2.701621676427117)	(7.0, 1.7982989703570391)	(8.0, 1.2002759968559056)	(9.0, 0.7977580691283422)	('>10', 5.826111420387282)	('>50', 2.3780013860761064)	('>100', 8.799196756358091)	('>500', 6.342491736495183)	('>1k', 17.714784488058612)	('>5k', 5.64097845392338)	('>10k+', 3.2152392959867404)
456L9_R1_001	(1.0, 26.800384489028307)	(2.0, 17.037619850656284)	(3.0, 10.608105319590491)	(4.0, 6.482364049249978)	(5.0, 4.054798807774528)	(6.0, 2.6526202534625543)	(7.0, 1.8646955524270963)	(8.0, 1.352291085715936)	(9.0, 1.0232730778223618)	('>10', 8.536248699625999)	('>50', 2.4542933204174004)	('>100', 8.045034310696519)	('>500', 3.7773512540055605)	('>1k', 4.769061434282114)	('>5k', 0.45043138254229126)	('>10k+', 0.09142711270252483)
456L9_R2_001	(1.0, 29.10422986564486)	(2.0, 16.860813890988936)	(3.0, 10.213835661225175)	(4.0, 6.214372599002741)	(5.0, 3.888581673655057)	(6.0, 2.542219402719223)	(7.0, 1.8249215686707592)	(8.0, 1.3147869748006202)	(9.0, 1.0019130340530928)	('>10', 8.258514708556545)	('>50', 2.322634073790896)	('>100', 7.743744784820543)	('>500', 3.6579717080342085)	('>1k', 4.549094145524702)	('>5k', 0.4315080301576192)	('>10k+', 0.07085787835498951)
456M14_R1_001	(1.0, 33.243812425551724)	(2.0, 19.23397649271997)	(3.0, 11.069543605433578)	(4.0, 6.092218068153089)	(5.0, 3.766356233191727)	(6.0, 2.3814717081649266)	(7.0, 1.6316976319755632)	(8.0, 1.3048218018062896)	(9.0, 0.966889678915931)	('>10', 8.642011298322734)	('>50', 2.147933769004516)	('>100', 5.632114450019164)	('>500', 1.9200713736795672)	('>1k', 1.8417428522522064)	('>5k', 0.12533861080912567)	('>10k+', 0.0)
456M14_R2_001	(1.0, 36.00832364608022)	(2.0, 18.50103595437488)	(3.0, 10.430055102840917)	(4.0, 5.856636651400132)	(5.0, 3.663751414125723)	(6.0, 2.29568618453672)	(7.0, 1.6453521450619044)	(8.0, 1.1963270501612258)	(9.0, 0.9499409161015946)	('>10', 8.263357529361922)	('>50', 2.1114524080043635)	('>100', 5.434151615585163)	('>500', 1.8142266192752685)	('>1k', 1.7062384216290667)	('>5k', 0.12346434146079119)	('>10k+', 0.0)
456M4_R1_001	(1.0, 44.04407973564396)	(2.0, 16.76652755478426)	(3.0, 8.687309491425292)	(4.0, 5.064733992584214)	(5.0, 3.038489263128476)	(6.0, 1.9985717323853514)	(7.0, 1.3908788932077787)	(8.0, 1.0285633706762416)	(9.0, 0.7683595475722407)	('>10', 7.0293176300149725)	('>50', 1.8104082440740614)	('>100', 4.340285108817097)	('>500', 1.6382029315685294)	('>1k', 1.9405959515279798)	('>5k', 0.1260027587977624)	('>10k+', 0.32767379379183015)
456M4_R2_001	(1.0, 48.15429541577581)	(2.0, 15.568070517302948)	(3.0, 7.809917582499301)	(4.0, 4.474933411510002)	(5.0, 2.7878271027363355)	(6.0, 1.8424973617146647)	(7.0, 1.2576215751305742)	(8.0, 0.9322865262985903)	(9.0, 0.7306839302303054)	('>10', 6.615097188457229)	('>50', 1.734886583859936)	('>100', 4.1374352218052195)	('>500', 1.4966501302808002)	('>1k', 1.8651147823254495)	('>5k', 0.12028374440758391)	('>10k+', 0.47239892566520536)
456M9_R1_001	(1.0, 34.821978530587565)	(2.0, 15.408263618515106)	(3.0, 8.02584296167805)	(4.0, 4.639543398315729)	(5.0, 2.747560071923277)	(6.0, 1.841980564978991)	(7.0, 1.3458095067527456)	(8.0, 0.9919924735174803)	(9.0, 0.7607152960798912)	('>10', 6.851280225697229)	('>50', 2.332052035203448)	('>100', 7.5507836005532125)	('>500', 4.222220858517009)	('>1k', 6.959144111669508)	('>5k', 1.1529381575709012)	('>10k+', 0.3478945884398192)
456M9_R2_001	(1.0, 38.097372606959)	(2.0, 14.734324392675195)	(3.0, 7.507675554243242)	(4.0, 4.257321246750482)	(5.0, 2.644549710998266)	(6.0, 1.6712165219666884)	(7.0, 1.1891675128040948)	(8.0, 0.92399877128187)	(9.0, 0.7294642343345598)	('>10', 6.5758419643128185)	('>50', 2.189742351239163)	('>100', 7.194562790450106)	('>500', 4.060834034296473)	('>1k', 6.551990885783779)	('>5k', 1.0149707404862836)	('>10k+', 0.6569666814181905)
45C14_R1_001	(1.0, 10.522866290789928)	(2.0, 8.860414696888014)	(3.0, 7.870268509656103)	(4.0, 6.3593685666595)	(5.0, 4.756274310956652)	(6.0, 3.414708035153477)	(7.0, 2.5019637401067456)	(8.0, 1.714503425743385)	(9.0, 1.227082400753751)	('>10', 6.4192304544192575)	('>50', 2.330641173183162)	('>100', 8.349867788434674)	('>500', 6.515367319046383)	('>1k', 18.515448200757074)	('>5k', 6.157151432851854)	('>10k+', 4.484843654600106)
45C14_R2_001	(1.0, 12.686160295482651)	(2.0, 8.8656293307099)	(3.0, 7.854412955858257)	(4.0, 6.274394991688771)	(5.0, 4.665434601768478)	(6.0, 3.3231433102008814)	(7.0, 2.3805148400018825)	(8.0, 1.6874678101399592)	(9.0, 1.1867075490301295)	('>10', 6.3579980630489406)	('>50', 2.2621798872247325)	('>100', 8.222368385281836)	('>500', 6.295041950343918)	('>1k', 18.164368978023525)	('>5k', 5.817731959407439)	('>10k+', 3.956445091788669)
45C9_R1_001	(1.0, 32.913330560037416)	(2.0, 16.25885282782437)	(3.0, 8.83361002317424)	(4.0, 5.39550312118557)	(5.0, 3.501079430090547)	(6.0, 2.22619246629471)	(7.0, 1.6839695953976608)	(8.0, 1.2349339406620572)	(9.0, 1.0016137537727647)	('>10', 8.388715327758204)	('>50', 2.379633479386033)	('>100', 7.0328944578474095)	('>500', 3.44783432208394)	('>1k', 4.878666240237055)	('>5k', 0.40784600325683257)	('>10k+', 0.4153244509913206)
45C9_R2_001	(1.0, 36.31628486943735)	(2.0, 15.762048150516787)	(3.0, 8.438588308495158)	(4.0, 5.043553095629392)	(5.0, 3.1458138541014056)	(6.0, 2.077539395117901)	(7.0, 1.5468424690528484)	(8.0, 1.1565493750780829)	(9.0, 0.8892825318661559)	('>10', 7.7598199687608505)	('>50', 2.2642385627283823)	('>100', 6.6465459642199285)	('>500', 3.3182662325689365)	('>1k', 4.4711895040580645)	('>5k', 0.3555193705788587)	('>10k+', 0.8079183477900029)
45H14_R1_001	(1.0, 24.624806043456303)	(2.0, 16.231110241096143)	(3.0, 11.28689610056268)	(4.0, 7.588300388035889)	(5.0, 4.898958954379385)	(6.0, 3.331499664628248)	(7.0, 2.2486872669661784)	(8.0, 1.5131644228303238)	(9.0, 1.1436818936885988)	('>10', 7.884047908487017)	('>50', 2.4111747237072008)	('>100', 7.215388858116327)	('>500', 3.2994513945302506)	('>1k', 5.353358941043979)	('>5k', 0.7353142372586918)	('>10k+', 0.23415896121274463)
45H14_R2_001	(1.0, 26.781454377600326)	(2.0, 16.02028748653623)	(3.0, 10.888086096736542)	(4.0, 7.390565773296302)	(5.0, 4.720903406976829)	(6.0, 3.1701136530646434)	(7.0, 2.1088396633184314)	(8.0, 1.4231372576939045)	(9.0, 1.0402456053967768)	('>10', 7.57248597077446)	('>50', 2.385942493651805)	('>100', 7.146419293505459)	('>500', 3.165762894338215)	('>1k', 5.142653517637453)	('>5k', 0.6376667993326159)	('>10k+', 0.40543571014000973)
67C9_R1_001	(1.0, 27.343476997017213)	(2.0, 17.952411522828157)	(3.0, 11.395297075022679)	(4.0, 6.702498796430552)	(5.0, 4.103032028384031)	(6.0, 2.4594237986832335)	(7.0, 1.7102490860413864)	(8.0, 1.198379512749184)	(9.0, 0.8827841074781757)	('>10', 7.009480142330481)	('>50', 2.322053031348769)	('>100', 7.082226910331844)	('>500', 3.8106513646982676)	('>1k', 5.312137374597857)	('>5k', 0.5617146195989275)	('>10k+', 0.154183632459248)
67C9_R2_001	(1.0, 29.822408068680634)	(2.0, 17.402666981507682)	(3.0, 10.945890838436625)	(4.0, 6.461921904768501)	(5.0, 3.893686171873888)	(6.0, 2.441710477861116)	(7.0, 1.534018337893939)	(8.0, 1.1335047817466304)	(9.0, 0.8445256794021805)	('>10', 6.791047023609886)	('>50', 2.174649507683374)	('>100', 7.096872758430542)	('>500', 3.70837057191832)	('>1k', 5.207971793968946)	('>5k', 0.38954295732719996)	('>10k+', 0.15121214489059423)
6C14_R1_001	(1.0, 46.06595021269879)	(2.0, 15.379022661151525)	(3.0, 7.580742187608243)	(4.0, 4.2655176114648805)	(5.0, 2.711298019200024)	(6.0, 1.8579599998687228)	(7.0, 1.3410992482778514)	(8.0, 1.0061424251764828)	(9.0, 0.8055384304416707)	('>10', 7.048478499754306)	('>50', 1.9341073944543339)	('>100', 5.324949316305857)	('>500', 2.076700525966791)	('>1k', 2.3945675906639976)	('>5k', 0.14952136416523845)	('>10k+', 0.05840451280114448)
6C14_R2_001	(1.0, 48.65040140678353)	(2.0, 14.707172898509485)	(3.0, 7.110257141281953)	(4.0, 4.067089970825155)	(5.0, 2.460222072584912)	(6.0, 1.7384191245842868)	(7.0, 1.1631691348594493)	(8.0, 0.9413729302915728)	(9.0, 0.7599885719243138)	('>10', 6.829770513086307)	('>50', 1.8363433240771128)	('>100', 5.20275474295218)	('>500', 1.9349889311534312)	('>1k', 2.3519916112182773)	('>5k', 0.1180585917204886)	('>10k+', 0.12799903414741498)
789C4_R1_001	(1.0, 7.506175807838024)	(2.0, 3.598880574446781)	(3.0, 5.200694736705218)	(4.0, 6.534694861760474)	(5.0, 7.268805782969517)	(6.0, 7.827768779330187)	(7.0, 7.886059838993267)	(8.0, 7.823756906094578)	(9.0, 7.118901352281037)	('>10', 32.99343511107515)	('>50', 1.3008575099839361)	('>100', 3.103620791515488)	('>500', 1.2825933088938997)	('>1k', 0.30272705254158805)	('>5k', 0.0)	('>10k+', 0.25102758557085947)
789C4_R2_001	(1.0, 9.437626238494277)	(2.0, 3.7902864819133644)	(3.0, 5.069837014522217)	(4.0, 6.445230855636658)	(5.0, 7.193725985331419)	(6.0, 7.724724226108798)	(7.0, 7.911760057390128)	(8.0, 7.467193950230423)	(9.0, 6.935338915740349)	('>10', 31.820773982083228)	('>50', 1.2464846020529297)	('>100', 3.072530433297697)	('>500', 1.2744889003514008)	('>1k', 0.2454467263757069)	('>5k', 0.0)	('>10k+', 0.3645516304713245)
789H14_R1_001	(1.0, 33.55480178521606)	(2.0, 19.012746111818306)	(3.0, 10.783429541359459)	(4.0, 6.308594228821342)	(5.0, 3.907709489831171)	(6.0, 2.62604574170586)	(7.0, 1.8253385576524617)	(8.0, 1.547869453963054)	(9.0, 1.1520558670326628)	('>10', 10.001226106212203)	('>50', 2.2983996792591292)	('>100', 4.61931168991868)	('>500', 1.380863433222164)	('>1k', 0.9816083139875392)	('>5k', 0.0)	('>10k+', 0.0)
789H14_R2_001	(1.0, 35.87651737330059)	(2.0, 18.681295675729977)	(3.0, 10.39033733668808)	(4.0, 6.027949660909853)	(5.0, 3.6573522151085918)	(6.0, 2.4507241890013574)	(7.0, 1.8739551157305399)	(8.0, 1.4698321157294072)	(9.0, 1.144195305379977)	('>10', 9.611927531998877)	('>50', 2.1673531911403243)	('>100', 4.432486930607272)	('>500', 1.316908491857117)	('>1k', 0.8991648668179893)	('>5k', 0.0)	('>10k+', 0.0)
789H4_R1_001	(1.0, 24.372458749294697)	(2.0, 16.536715937629104)	(3.0, 10.889975584598107)	(4.0, 6.876062767935828)	(5.0, 4.302526792605319)	(6.0, 2.7866090972887414)	(7.0, 1.898030231369561)	(8.0, 1.3354528160598071)	(9.0, 1.089721098628486)	('>10', 9.00106886985017)	('>50', 2.500117601604637)	('>100', 6.982316235942918)	('>500', 3.728337493018679)	('>1k', 6.220408638888665)	('>5k', 1.0470105811705364)	('>10k+', 0.4331875041148025)
789H4_R2_001	(1.0, 27.35951962220493)	(2.0, 16.105117984714123)	(3.0, 10.698915595269645)	(4.0, 6.566558807540888)	(5.0, 3.949357633408763)	(6.0, 2.689823243703624)	(7.0, 1.8366396765896533)	(8.0, 1.3298834091388103)	(9.0, 1.0086767620687032)	('>10', 8.5411595942353)	('>50', 2.3459737586957843)	('>100', 6.779352678854032)	('>500', 3.6238808064318127)	('>1k', 5.910627127408377)	('>5k', 0.9826783564880339)	('>10k+', 0.2718349432475438)
789H9_R1_001	(1.0, 44.19224447337307)	(2.0, 14.814336792589557)	(3.0, 7.46946763807846)	(4.0, 4.495877888166896)	(5.0, 3.067613367858397)	(6.0, 2.1445136427754345)	(7.0, 1.5890631500544243)	(8.0, 1.2202689284550086)	(9.0, 0.9896289335487496)	('>10', 8.452208249093566)	('>50', 2.058540371589258)	('>100', 5.035005670119817)	('>500', 2.0560646592819007)	('>1k', 2.1716081890887877)	('>5k', 0.24355804592661293)	('>10k+', 0.0)
789H9_R2_001	(1.0, 48.678804127212594)	(2.0, 13.537149717824033)	(3.0, 6.744361508579096)	(4.0, 4.101185396992818)	(5.0, 2.738130153110583)	(6.0, 1.882850386754967)	(7.0, 1.500460776586489)	(8.0, 1.1783342125118093)	(9.0, 0.8608161488587741)	('>10', 7.743968054553039)	('>50', 1.970961561415669)	('>100', 4.758214957240724)	('>500', 1.8751254778936526)	('>1k', 2.042897099666863)	('>5k', 0.1522155139020254)	('>10k+', 0.23452490689691002)
789L14_R1_001	(1.0, 44.26590600967263)	(2.0, 14.5707460509475)	(3.0, 7.590415094007675)	(4.0, 4.581726412916496)	(5.0, 3.1788727302675754)	(6.0, 2.261470525599658)	(7.0, 1.7417775505573747)	(8.0, 1.3491878146027023)	(9.0, 1.1460292039889806)	('>10', 10.10852982727476)	('>50', 2.318605267920403)	('>100', 4.452073153303355)	('>500', 1.2833812141915117)	('>1k', 1.1179039683874148)	('>5k', 0.033375176361939235)	('>10k+', 0.0)
