Module	Section	Sample Name	Source
FastQC	all_sections	101112C9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112C9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	45C14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/45C14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	456M9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456M9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112L4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112L4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	6C14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/6C14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112C4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112C4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456L14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456L14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112M9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112M9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123H4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123H4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123L14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123L14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	45H14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/45H14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415M4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415M4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	789L14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789L14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415C9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415C9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	123L4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123L4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112H14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112H14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	45C9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/45C9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415L9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415L9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415M4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415M4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415L14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415L14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	67C9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/67C9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415H4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415H4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	456C4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456C4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456M14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456M14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456L9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456L9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	89M9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/89M9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	123L14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123L14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	89M9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/89M9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	789H4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789H4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	789C4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789C4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	123L9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123L9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	456M9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456M9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	789C4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789C4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123M4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123M4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112L14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112L14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	456L4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456L4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456L4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456L4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123C9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123C9_R1_001.fastp-trim_fastqc.zip
