Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
101112C14_R1_001										10.118737255732443	2.3785967745451755	5.306939308839223	1.693103957721434	1.6549162043532086	0.07976543800141354	0.0
101112C14_R2_001										9.75769953940501	2.361343935394239	5.1534013385975825	1.7006914104209883	1.5892476642968847	0.0787929530354225	0.0
101112C4_R1_001										7.051932292445945	1.9248414791299677	5.530328814673587	2.6131440860059802	3.48454215471896	0.2604495259737386	0.0
101112C4_R2_001										6.8091189132584455	1.8445887892684039	5.418873227294028	2.5886375748657944	3.399841067736351	0.25819772722926915	0.0
101112C9_R1_001										7.374772101855917	1.974584776136453	5.344351328116007	2.175980646993061	2.1427215784677385	0.20206945545453878	0.0
101112C9_R2_001										7.14721946255766	1.8360857601859417	5.0706314734667846	2.1005852502694013	2.087726766499909	0.1594468050102257	0.0
101112H14_R1_001										8.655599189196794	2.0158798505487905	4.497248189237689	1.403684990081386	1.2155303556933754	0.06853056641045151	0.0
101112H14_R2_001										8.393586577866362	2.0352587265357993	4.33687644972258	1.399151596118381	1.1645520087350165	0.036394582461695024	0.0
101112H4_R1_001										6.074220502935281	1.744850677683794	4.779464172133811	2.0584708294892016	2.4478348350057613	0.1751399050291399	0.0
101112H4_R2_001										5.830246550985249	1.730626862679421	4.597655297619327	1.99650620139783	2.460037544010232	0.14384160326343748	0.0
101112H9_R1_001										7.223604044338357	1.930618973053402	5.790357958334598	2.6591380960676996	3.2194337679536784	0.2432276073977696	0.06093546406264049
101112H9_R2_001										7.079868101759815	1.8554708752783151	5.74738784474496	2.5205530548800623	3.109405712131762	0.212804285959654	0.06141700884010466
101112L14_R1_001										9.891233735189003	2.2262951620789866	4.312325279839092	1.192682683342675	0.9323554649574717	0.03580710732183861	0.0
101112L14_R2_001										9.667393629125232	2.2248052357899626	4.275956662995489	1.178260974778131	0.8818767729649126	0.03656418471953152	0.0
101112L4_R1_001										7.150805199879734	1.9756905440204735	5.643376466216812	2.8531674489113397	3.9306460148283304	0.2959538517874307	0.09008977834441415
101112L4_R2_001										7.145384518156267	1.8925284821557993	5.71475328594742	2.7134358595521846	3.8605932802726763	0.2991373779868242	0.08759074276728904
101112L9_R1_001										8.219554323143651	2.036699958513159	5.3708341295548605	2.340849813025712	2.9552351397031345	0.32435544461687543	0.06191861417843144
