Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
101112C14_R1_001	52.88382545746138	43.0	148.08737002281802	150	18.181818181818183	17533943.0
101112C14_R2_001	51.56759633944308	43.0	148.08772539068937	150	9.090909090909092	17533943.0
101112C4_R1_001	53.00889571780188	47.0	148.0520564732158	150	18.181818181818183	18006483.0
101112C4_R2_001	52.10268166684677	47.0	148.0531337518826	150	18.181818181818183	18006483.0
101112C9_R1_001	41.815510990022574	45.0	148.0951532086861	150	9.090909090909092	17598839.0
101112C9_R2_001	40.29178217605721	45.0	148.10493589946472	150	9.090909090909092	17598839.0
101112H14_R1_001	41.55783368841243	44.0	147.38127203925683	150	9.090909090909092	17648905.0
101112H14_R2_001	40.29878666541754	44.0	147.39066163028244	150	0.0	17648905.0
101112H4_R1_001	40.46335969012303	48.0	147.28715068321972	150	9.090909090909092	18069809.0
101112H4_R2_001	39.30009242351136	48.0	147.29854106371573	150	9.090909090909092	18069809.0
101112H9_R1_001	43.91507989843544	45.0	148.47371161037117	150	9.090909090909092	18449970.0
101112H9_R2_001	42.37944409142901	45.0	148.4836956374455	150	0.0	18449970.0
101112L14_R1_001	48.7537152746108	45.0	147.93544952500153	150	9.090909090909092	18363428.0
101112L14_R2_001	47.624838669316475	45.0	147.93753943980394	150	9.090909090909092	18363428.0
101112L4_R1_001	53.799892173219895	48.0	147.90436598942796	150	18.181818181818183	17866374.0
101112L4_R2_001	52.98670400026209	48.0	147.904991857889	150	18.181818181818183	17866374.0
101112L9_R1_001	43.87468317289414	44.0	147.73741692753518	150	9.090909090909092	18404865.0
101112L9_R2_001	42.469658226945405	45.0	147.74655880388147	150	9.090909090909092	18404865.0
101112M14_R1_001	49.86385528935395	44.0	148.04414429092566	150	9.090909090909092	17670439.0
101112M14_R2_001	48.5888385422861	44.0	148.0443185933298	150	9.090909090909092	17670439.0
101112M4_R1_001	38.363674643961055	47.0	147.68038556772044	150	18.181818181818183	17487771.0
101112M4_R2_001	37.06714594458539	47.0	147.69256373496657	150	9.090909090909092	17487771.0
101112M9_R1_001	43.22815216898089	44.0	146.1674205858756	150	9.090909090909092	18190278.0
101112M9_R2_001	42.331806759826144	44.0	146.17992055976273	150	9.090909090909092	18190278.0
123C14_R1_001	41.53844796935824	45.0	147.7042067665535	150	9.090909090909092	17237372.0
123C14_R2_001	40.77991736197295	45.0	147.71343410120753	150	9.090909090909092	17237372.0
123C4_R1_001	50.636420211631325	43.0	146.53102860873145	150	18.181818181818183	18071371.0
123C4_R2_001	49.645768631940065	43.0	146.54011624242565	150	0.0	18071371.0
123C9_R1_001	47.17075386728589	44.0	147.80906992453427	150	9.090909090909092	18225091.0
