Sample	Unique Reads	Duplicate Reads
101112C14_R1_001	8261324.0	9272619.0
101112C14_R2_001	8492111.0	9041832.0
101112C4_R1_001	8461446.0	9545037.0
101112C4_R2_001	8624623.0	9381860.0
101112C9_R1_001	10239795.0	7359044.0
101112C9_R2_001	10507954.0	7090885.0
101112H14_R1_001	10314403.0	7334502.0
101112H14_R2_001	10536611.0	7112294.0
101112H4_R1_001	10758158.0	7311651.0
101112H4_R2_001	10968358.0	7101451.0
101112H9_R1_001	10347651.0	8102319.0
101112H9_R2_001	10630976.0	7818994.0
101112L14_R1_001	9410575.0	8952853.0
101112L14_R2_001	9617876.0	8745552.0
101112L4_R1_001	8254285.0	9612089.0
101112L4_R2_001	8399572.0	9466802.0
101112L9_R1_001	10329789.0	8075076.0
101112L9_R2_001	10588382.0	7816483.0
101112M14_R1_001	8859277.0	8811162.0
101112M14_R2_001	9084578.0	8585861.0
101112M4_R1_001	10778820.0	6708951.0
101112M4_R2_001	11005554.0	6482217.0
101112M9_R1_001	10326957.0	7863321.0
101112M9_R2_001	10490005.0	7700273.0
123C14_R1_001	10077236.0	7160136.0
123C14_R2_001	10207986.0	7029386.0
123C4_R1_001	8920676.0	9150695.0
123C4_R2_001	9099700.0	8971671.0
123C9_R1_001	9628179.0	8596912.0
123C9_R2_001	9893511.0	8331580.0
123H14_R1_001	8248948.0	9618305.0
123H14_R2_001	8458535.0	9408718.0
123H4_R1_001	9058724.0	8344203.0
123H4_R2_001	9249520.0	8153407.0
123H9_R1_001	8797740.0	9349020.0
123H9_R2_001	8938689.0	9208071.0
123L14_R1_001	8901835.0	8202911.0
123L14_R2_001	9136055.0	7968691.0
123L4_R1_001	8790530.0	8983272.0
123L4_R2_001	9019549.0	8754253.0
123L9_R1_001	10450251.0	6899733.0
123L9_R2_001	10697384.0	6652600.0
123M4_R1_001	8547361.0	9347527.0
123M4_R2_001	8760024.0	9134864.0
123M9_R1_001	9330112.0	8215646.0
123M9_R2_001	9466636.0	8079122.0
131415C14_R1_001	10568085.0	7546101.0
131415C14_R2_001	10814872.0	7299314.0
131415C4_R1_001	8782404.0	9447372.0
131415C4_R2_001	8983468.0	9246308.0
131415C9_R1_001	10407332.0	7320647.0
131415C9_R2_001	10631390.0	7096589.0
131415H14_R1_001	10961633.0	7481988.0
131415H14_R2_001	11234744.0	7208877.0
131415H4_R1_001	9060962.0	10521438.0
131415H4_R2_001	9217789.0	10364611.0
131415H9_R1_001	10020680.0	7870778.0
131415H9_R2_001	10273312.0	7618146.0
131415L14_R1_001	11044208.0	7312484.0
131415L14_R2_001	11304560.0	7052132.0
131415L4_R1_001	1778949.0	16345930.0
131415L4_R2_001	1851780.0	16273099.0
131415L9_R1_001	10635096.0	7622846.0
131415L9_R2_001	10918179.0	7339763.0
131415M14_R1_001	10361977.0	8115014.0
131415M14_R2_001	10670617.0	7806374.0
131415M4_R1_001	10040735.0	8074981.0
131415M4_R2_001	10281338.0	7834378.0
131415M9_R1_001	10461295.0	7623066.0
131415M9_R2_001	10665247.0	7419114.0
13M14_R1_001	7973800.0	9776230.0
13M14_R2_001	8052999.0	9697031.0
456C4_R1_001	11441214.0	6912073.0
456C4_R2_001	11621390.0	6731897.0
456H4_R1_001	6718661.0	10136258.0
456H4_R2_001	6908187.0	9946732.0
456H9_R1_001	7189628.0	14267403.0
456H9_R2_001	7419768.0	14037263.0
456L14_R1_001	10288763.0	7594585.0
456L14_R2_001	10409494.0	7473854.0
456L4_R1_001	4232122.0	13011728.0
456L4_R2_001	4292264.0	12951586.0
456L9_R1_001	7422842.0	10031321.0
456L9_R2_001	7572292.0	9881871.0
456M14_R1_001	8884963.0	8879241.0
456M14_R2_001	9043031.0	8721173.0
456M4_R1_001	10662089.0	7524420.0
456M4_R2_001	10877975.0	7308534.0
456M9_R1_001	7926302.0	8607347.0
456M9_R2_001	8133779.0	8399870.0
45C14_R1_001	3854522.0	14307138.0
45C14_R2_001	3958814.0	14202846.0
45C9_R1_001	7991625.0	8865389.0
45C9_R2_001	8227281.0	8629733.0
45H14_R1_001	7238969.0	10549959.0
45H14_R2_001	7372697.0	10416231.0
67C9_R1_001	8980465.0	11679585.0
67C9_R2_001	9158526.0	11501524.0
6C14_R1_001	10906008.0	7569007.0
6C14_R2_001	11075697.0	7399318.0
789C4_R1_001	3406070.0	14028003.0
789C4_R2_001	3532686.0	13901387.0
789H14_R1_001	8807150.0	8663515.0
789H14_R2_001	8959937.0	8510728.0
789H4_R1_001	7480855.0	11141386.0
789H4_R2_001	7681070.0	10941171.0
789H9_R1_001	10229944.0	7617069.0
789H9_R2_001	10511857.0	7335156.0
789L14_R1_001	10171122.0	7532938.0
789L14_R2_001	10407907.0	7296153.0
789L4_R1_001	9034596.0	9053116.0
789L4_R2_001	9209307.0	8878405.0
789L9_R1_001	7686523.0	10038425.0
789L9_R2_001	7885967.0	9838981.0
789M14_R1_001	9461519.0	10688208.0
789M14_R2_001	9646828.0	10502899.0
789M4_R1_001	7381686.0	11400788.0
789M4_R2_001	7559138.0	11223336.0
7C14_R1_001	8498019.0	9303651.0
7C14_R2_001	8719064.0	9082606.0
89C14_R1_001	9721629.0	11263418.0
89C14_R2_001	9948089.0	11036958.0
89C9_R1_001	8824481.0	9115073.0
89C9_R2_001	8993295.0	8946259.0
89M9_R1_001	9669128.0	8175340.0
89M9_R2_001	9901892.0	7942576.0
