Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
101112C14_R1_001	101112C14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17533943.0	2.5 Gbp	0.0	15-150	43.0	47.11617454253862	148.08737002281802	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
101112C14_R2_001	101112C14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17533943.0	2.5 Gbp	0.0	15-150	43.0	48.43240366055692	148.08772539068937	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
101112C4_R1_001	101112C4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18006483.0	2.6 Gbp	0.0	15-150	47.0	46.99110428219812	148.0520564732158	150	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
101112C4_R2_001	101112C4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18006483.0	2.6 Gbp	0.0	15-150	47.0	47.89731833315323	148.0531337518826	150	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
101112C9_R1_001	101112C9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17598839.0	2.6 Gbp	0.0	15-150	45.0	58.184489009977426	148.0951532086861	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
101112C9_R2_001	101112C9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17598839.0	2.6 Gbp	0.0	15-150	45.0	59.70821782394279	148.10493589946472	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
101112H14_R1_001	101112H14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17648905.0	2.6 Gbp	0.0	15-150	44.0	58.44216631158757	147.38127203925683	150	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
101112H14_R2_001	101112H14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17648905.0	2.6 Gbp	0.0	15-150	44.0	59.70121333458246	147.39066163028244	150	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
101112H4_R1_001	101112H4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18069809.0	2.6 Gbp	0.0	15-150	48.0	59.53664030987697	147.28715068321972	150	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
101112H4_R2_001	101112H4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18069809.0	2.6 Gbp	0.0	15-150	48.0	60.69990757648864	147.29854106371573	150	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
101112H9_R1_001	101112H9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18449970.0	2.7 Gbp	0.0	15-150	45.0	56.08492010156456	148.47371161037117	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
101112H9_R2_001	101112H9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18449970.0	2.7 Gbp	0.0	15-150	45.0	57.62055590857099	148.4836956374455	150	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
101112L14_R1_001	101112L14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18363428.0	2.7 Gbp	0.0	15-150	45.0	51.2462847253892	147.93544952500153	150	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
101112L14_R2_001	101112L14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18363428.0	2.7 Gbp	0.0	15-150	45.0	52.375161330683525	147.93753943980394	150	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
101112L4_R1_001	101112L4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17866374.0	2.6 Gbp	0.0	15-150	48.0	46.200107826780105	147.90436598942796	150	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
101112L4_R2_001	101112L4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17866374.0	2.6 Gbp	0.0	15-150	48.0	47.01329599973791	147.904991857889	150	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
101112L9_R1_001	101112L9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18404865.0	2.7 Gbp	0.0	15-150	44.0	56.12531682710586	147.73741692753518	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
101112L9_R2_001	101112L9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18404865.0	2.7 Gbp	0.0	15-150	45.0	57.530341773054595	147.74655880388147	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
101112M14_R1_001	101112M14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17670439.0	2.6 Gbp	0.0	15-150	44.0	50.13614471064605	148.04414429092566	150	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
101112M14_R2_001	101112M14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17670439.0	2.6 Gbp	0.0	15-150	44.0	51.4111614577139	148.0443185933298	150	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
101112M4_R1_001	101112M4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17487771.0	2.5 Gbp	0.0	15-150	47.0	61.636325356038945	147.68038556772044	150	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass
101112M4_R2_001	101112M4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17487771.0	2.5 Gbp	0.0	15-150	47.0	62.93285405541461	147.69256373496657	150	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
101112M9_R1_001	101112M9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18190278.0	2.6 Gbp	0.0	15-150	44.0	56.77184783101911	146.1674205858756	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
101112M9_R2_001	101112M9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18190278.0	2.6 Gbp	0.0	15-150	44.0	57.668193240173856	146.17992055976273	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
123C14_R1_001	123C14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17237372.0	2.5 Gbp	0.0	15-150	45.0	58.46155203064176	147.7042067665535	150	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
123C14_R2_001	123C14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17237372.0	2.5 Gbp	0.0	15-150	45.0	59.22008263802705	147.71343410120753	150	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
123C4_R1_001	123C4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18071371.0	2.6 Gbp	0.0	15-150	43.0	49.363579788368675	146.53102860873145	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
123C4_R2_001	123C4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18071371.0	2.6 Gbp	0.0	15-150	43.0	50.354231368059935	146.54011624242565	150	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
123C9_R1_001	123C9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18225091.0	2.6 Gbp	0.0	15-150	44.0	52.82924613271411	147.80906992453427	150	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
123C9_R2_001	123C9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18225091.0	2.6 Gbp	0.0	15-150	44.0	54.28511024164432	147.81949000967953	150	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
123H14_R1_001	123H14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17867253.0	2.6 Gbp	0.0	15-150	42.0	46.16796912773902	147.2366066568823	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
123H14_R2_001	123H14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17867253.0	2.6 Gbp	0.0	15-150	43.0	47.34099169549095	147.24009180370368	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
